,Graph,Adjacency_list,a,d,APG_label_availability,Edge weights
204,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 1], [1, 1, 1, 1, 0]]",3.0,7.0,Y,"{(0, 2): 16, (0, 3): 9, (0, 4): 5, (1, 4): 3, (2, 3): 6, (2, 4): 1, (3, 4): 1}"
282,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,4.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 3): 6, (1, 4): 4, (2, 4): 6, (3, 4): 7}"
288,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,1.0,Y,"{(0, 2): 2, (0, 3): 1, (0, 4): 1, (1, 3): 4, (1, 4): 3, (2, 4): 3, (3, 4): 1}"
214,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 1], [1, 1, 1, 1, 0]]",4.0,8.0,Y,"{(0, 2): 1, (0, 3): 2, (0, 4): 1, (1, 4): 12, (2, 3): 11, (2, 4): 16, (3, 4): 7}"
379,Graph with 5 nodes and 9 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",4.0,2.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 2, (1, 2): 5, (1, 3): 6, (1, 4): 1, (2, 3): 1, (2, 4): 1, (3, 4): 2}"
243,Graph with 5 nodes and 6 edges,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [1, 0, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",2.0,1.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 2, (1, 3): 2, (1, 4): 3, (2, 4): 1}"
53,Graph with 5 nodes and 6 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,2.0,Y,"{(0, 3): 1, (0, 4): 1, (1, 3): 4, (1, 4): 2, (2, 4): 4, (3, 4): 3}"
371,Graph with 5 nodes and 9 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]",3.0,3.0,Y,"{(0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 2): 1, (1, 3): 9, (1, 4): 4, (2, 3): 1, (2, 4): 2, (3, 4): 1}"
347,Graph with 5 nodes and 7 edges,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",4.0,6.0,Y,"{(0, 2): 18, (0, 3): 1, (0, 4): 3, (1, 2): 2, (1, 3): 3, (1, 4): 5, (2, 4): 8}"
71,Graph with 5 nodes and 6 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,4.0,Y,"{(0, 3): 3, (0, 4): 5, (1, 3): 15, (1, 4): 1, (2, 4): 4, (3, 4): 2}"
