graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
0.0,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 1, 0, 0], [1, 1, 1, 0, 1, 1, 1], [0, 1, 1, 1, 0, 1, 1], [0, 0, 0, 1, 1, 0, 1], [0, 1, 0, 1, 1, 1, 0]]",4.0,4.0,Y,"{0: 16, 1: 8, 2: 4, 3: 28, 4: 20, 5: 24, 6: 12}","{(0, 3): 16, (1, 3): 1, (1, 4): 1, (1, 6): 6, (2, 3): 3, (2, 4): 1, (3, 4): 1, (3, 5): 5, (3, 6): 2, (4, 5): 16, (4, 6): 1, (5, 6): 3}",1206.1595916748047,61.0,21.0,171.0
1.0,Graph with 7 nodes and 10 edges,"[[0, 0, 1, 0, 1, 0, 1], [0, 0, 0, 1, 1, 0, 0], [1, 0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 1, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",12.0,2.0,Y,"{0: 16, 1: 12, 2: 24, 3: 20, 4: 18, 5: 22, 6: 14}","{(0, 2): 1, (0, 4): 4, (0, 6): 11, (1, 3): 9, (1, 4): 3, (2, 5): 22, (2, 6): 1, (3, 4): 10, (3, 6): 1, (4, 6): 1}",79.87022399902344,59.0,21.0,167.0
1.0,Graph with 7 nodes and 10 edges,"[[0, 0, 1, 0, 1, 0, 1], [0, 0, 0, 1, 1, 0, 0], [1, 0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 1, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",24.0,2.0,Y,"{0: 26, 1: 30, 2: 34, 3: 36, 4: 32, 5: 24, 6: 28}","{(0, 2): 9, (0, 4): 13, (0, 6): 4, (1, 3): 13, (1, 4): 17, (2, 5): 24, (2, 6): 1, (3, 4): 1, (3, 6): 22, (4, 6): 1}",1196.146011352539,59.0,21.0,167.0
2.0,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 1, 0], [1, 1, 0, 1, 0, 0, 1], [1, 0, 0, 1, 0, 0, 1], [1, 1, 1, 0, 1, 1, 0]]",8.0,8.0,Y,"{0: 8, 1: 32, 2: 48, 3: 40, 4: 16, 5: 24, 6: 56}","{(0, 3): 1, (0, 4): 1, (0, 5): 2, (0, 6): 4, (1, 4): 13, (1, 6): 19, (2, 3): 37, (2, 6): 11, (3, 4): 1, (3, 5): 1, (4, 6): 1, (5, 6): 21}",403.8810729980469,61.0,21.0,171.0
3.0,Graph with 7 nodes and 12 edges,"[[0, 1, 0, 0, 1, 1, 0], [1, 0, 1, 1, 1, 1, 0], [0, 1, 0, 0, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 1], [0, 0, 1, 0, 1, 1, 0]]",17.0,5.0,Y,"{0: 17, 1: 27, 2: 37, 3: 47, 4: 32, 5: 42, 6: 22}","{(0, 1): 6, (0, 4): 8, (0, 5): 3, (1, 2): 1, (1, 3): 16, (1, 4): 1, (1, 5): 3, (2, 4): 21, (2, 6): 15, (3, 5): 31, (4, 6): 2, (5, 6): 5}",46.01478576660156,61.0,21.0,171.0
3.0,Graph with 7 nodes and 12 edges,"[[0, 1, 0, 0, 1, 1, 0], [1, 0, 1, 1, 1, 1, 0], [0, 1, 0, 0, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 1], [0, 0, 1, 0, 1, 1, 0]]",25.0,5.0,Y,"{0: 25, 1: 50, 2: 45, 3: 35, 4: 40, 5: 55, 6: 30}","{(0, 1): 16, (0, 4): 3, (0, 5): 6, (1, 2): 4, (1, 3): 4, (1, 4): 9, (1, 5): 17, (2, 4): 20, (2, 6): 21, (3, 5): 31, (4, 6): 8, (5, 6): 1}",68.90296936035156,61.0,21.0,171.0
3.0,Graph with 7 nodes and 12 edges,"[[0, 1, 0, 0, 1, 1, 0], [1, 0, 1, 1, 1, 1, 0], [0, 1, 0, 0, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 1], [0, 0, 1, 0, 1, 1, 0]]",25.0,9.0,Y,"{0: 70, 1: 61, 2: 52, 3: 34, 4: 43, 5: 79, 6: 25}","{(0, 1): 1, (0, 4): 1, (0, 5): 68, (1, 2): 17, (1, 3): 33, (1, 4): 1, (1, 5): 9, (2, 4): 26, (2, 6): 9, (3, 5): 1, (4, 6): 15, (5, 6): 1}",1492.9771423339844,61.0,21.0,171.0
4.0,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 1, 0, 1, 0, 0], [0, 1, 0, 1, 1, 0, 1], [1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 0]]",4.0,4.0,Y,"{0: 28, 1: 16, 2: 24, 3: 8, 4: 20, 5: 12, 6: 4}","{(0, 3): 1, (0, 4): 14, (0, 5): 11, (0, 6): 2, (1, 2): 13, (1, 4): 3, (2, 3): 7, (2, 4): 3, (2, 6): 1, (5, 6): 1}",72.95608520507812,59.0,21.0,167.0
4.0,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 1, 0, 1, 0, 0], [0, 1, 0, 1, 1, 0, 1], [1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 0]]",22.0,4.0,Y,"{0: 22, 1: 46, 2: 42, 3: 38, 4: 34, 5: 30, 6: 26}","{(0, 3): 12, (0, 4): 1, (0, 5): 7, (0, 6): 2, (1, 2): 14, (1, 4): 32, (2, 3): 26, (2, 4): 1, (2, 6): 1, (5, 6): 23}",385.9996795654297,59.0,21.0,167.0
6.0,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0, 1], [0, 1, 1, 0, 1, 0, 1], [0, 1, 1, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 0]]",20.0,2.0,Y,"{0: 20, 1: 24, 2: 32, 3: 28, 4: 26, 5: 30, 6: 22}","{(0, 5): 19, (0, 6): 1, (1, 3): 1, (1, 4): 23, (2, 3): 23, (2, 4): 2, (2, 6): 7, (3, 4): 1, (3, 6): 3, (5, 6): 11}",31.948089599609375,59.0,21.0,167.0
8.0,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 1, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0], [1, 0, 1, 1, 0, 0, 1], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0, 1, 1, 0]]",4.0,8.0,Y,"{0: 12, 1: 4, 2: 20, 3: 44, 4: 52, 5: 28, 6: 36}","{(0, 4): 1, (0, 5): 7, (0, 6): 4, (1, 2): 1, (1, 5): 3, (2, 4): 6, (2, 6): 13, (3, 4): 44, (4, 6): 1, (5, 6): 18}",1546.1444854736328,59.0,21.0,167.0
