graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
0.0,Graph with 13 nodes and 32 edges,"[[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1], [1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1], [1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1], [1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]]",6.0,1.0,Y,"{0: 7, 1: 8, 2: 9, 3: 10, 4: 11, 5: 12, 6: 13, 7: 14, 8: 15, 9: 16, 10: 17, 11: 6, 12: 18}",Y,"{0: 7, 1: 8, 2: 9, 3: 10, 4: 11, 5: 12, 6: 13, 7: 14, 8: 15, 9: 16, 10: 17, 11: 6, 12: 18}","{(0, 5): 2, (0, 6): 1, (0, 7): 1, (0, 8): 1, (0, 10): 2, (1, 3): 1, (1, 7): 7, (2, 3): 1, (2, 5): 3, (2, 6): 5, (3, 5): 1, (3, 7): 1, (3, 9): 1, (3, 10): 5, (4, 6): 1, (4, 7): 4, (4, 10): 1, (4, 11): 1, (4, 12): 4, (5, 6): 1, (5, 10): 1, (5, 12): 4, (6, 9): 4, (6, 12): 1, (7, 11): 1, (8, 9): 9, (8, 10): 4, (8, 12): 1, (9, 10): 1, (9, 12): 1, (10, 12): 3, (11, 12): 4}",35.04753112792969,32.0,13.0,64.0
0.0,Graph with 13 nodes and 32 edges,"[[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1], [1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1], [1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1], [1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]]",20.0,9.0,Y,"{0: 119, 1: 29, 2: 47, 3: 101, 4: 83, 5: 38, 6: 20, 7: 74, 8: 92, 9: 110, 10: 128, 11: 65, 12: 56}",Y,"{0: 119, 1: 29, 2: 47, 3: 101, 4: 83, 5: 38, 6: 20, 7: 74, 8: 92, 9: 110, 10: 128, 11: 65, 12: 56}","{(0, 5): 1, (0, 6): 1, (0, 7): 1, (0, 8): 17, (0, 10): 99, (1, 3): 1, (1, 7): 28, (2, 3): 31, (2, 5): 1, (2, 6): 15, (3, 5): 33, (3, 7): 1, (3, 9): 34, (3, 10): 1, (4, 6): 1, (4, 7): 43, (4, 10): 24, (4, 11): 14, (4, 12): 1, (5, 6): 1, (5, 10): 1, (5, 12): 1, (6, 9): 1, (6, 12): 1, (7, 11): 1, (8, 9): 73, (8, 10): 1, (8, 12): 1, (9, 10): 1, (9, 12): 1, (10, 12): 1, (11, 12): 50}",378.8471221923828,32.0,13.0,64.0
1.0,Graph with 13 nodes and 44 edges,"[[0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1], [1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0], [0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1], [1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1], [1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0], [1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0], [1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0], [1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0], [1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1], [1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]]",10.0,5.0,Y,"{0: 70, 1: 65, 2: 60, 3: 55, 4: 50, 5: 45, 6: 40, 7: 35, 8: 30, 9: 25, 10: 20, 11: 15, 12: 10}",Y,"{0: 70, 1: 65, 2: 60, 3: 55, 4: 50, 5: 45, 6: 40, 7: 35, 8: 30, 9: 25, 10: 20, 11: 15, 12: 10}","{(0, 1): 2, (0, 4): 32, (0, 5): 1, (0, 6): 25, (0, 8): 1, (0, 9): 1, (0, 10): 1, (0, 11): 1, (0, 12): 6, (1, 3): 29, (1, 4): 1, (1, 7): 28, (1, 10): 4, (1, 11): 1, (2, 5): 32, (2, 8): 10, (2, 9): 18, (3, 5): 1, (3, 6): 5, (3, 8): 4, (3, 10): 7, (3, 11): 8, (3, 12): 1, (4, 5): 1, (4, 6): 1, (4, 8): 7, (4, 9): 1, (4, 10): 5, (4, 11): 1, (4, 12): 1, (5, 6): 7, (5, 8): 1, (5, 9): 1, (5, 11): 1, (6, 9): 1, (6, 12): 1, (7, 8): 5, (7, 9): 1, (7, 11): 1, (8, 9): 1, (8, 10): 1, (9, 10): 1, (10, 11): 1, (11, 12): 1}",95.84426879882812,44.0,13.0,88.0
1.0,Graph with 13 nodes and 44 edges,"[[0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1], [1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0], [0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1], [1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1], [1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0], [1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0], [1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0], [1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0], [1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1], [1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]]",22.0,9.0,Y,"{0: 31, 1: 40, 2: 49, 3: 58, 4: 67, 5: 76, 6: 85, 7: 94, 8: 103, 9: 112, 10: 121, 11: 130, 12: 22}",Y,"{0: 31, 1: 40, 2: 49, 3: 58, 4: 67, 5: 76, 6: 85, 7: 94, 8: 103, 9: 112, 10: 121, 11: 130, 12: 22}","{(0, 1): 1, (0, 4): 1, (0, 5): 1, (0, 6): 23, (0, 8): 1, (0, 9): 1, (0, 10): 1, (0, 11): 1, (0, 12): 1, (1, 3): 1, (1, 4): 1, (1, 7): 1, (1, 10): 25, (1, 11): 11, (2, 5): 1, (2, 8): 29, (2, 9): 19, (3, 5): 1, (3, 6): 1, (3, 8): 1, (3, 10): 9, (3, 11): 44, (3, 12): 1, (4, 5): 1, (4, 6): 29, (4, 8): 5, (4, 9): 9, (4, 10): 19, (4, 11): 1, (4, 12): 1, (5, 6): 13, (5, 8): 1, (5, 9): 57, (5, 11): 1, (6, 9): 1, (6, 12): 18, (7, 8): 39, (7, 9): 1, (7, 11): 53, (8, 9): 1, (8, 10): 26, (9, 10): 23, (10, 11): 18, (11, 12): 1}",61.03515625,44.0,13.0,88.0
2.0,Graph with 13 nodes and 36 edges,"[[0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0], [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0], [1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1], [0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1], [1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1], [0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]]",24.0,4.0,Y,"{0: 40, 1: 52, 2: 28, 3: 36, 4: 64, 5: 32, 6: 68, 7: 60, 8: 56, 9: 48, 10: 72, 11: 24, 12: 44}",Y,"{0: 40, 1: 52, 2: 28, 3: 36, 4: 64, 5: 32, 6: 68, 7: 60, 8: 56, 9: 48, 10: 72, 11: 24, 12: 44}","{(0, 1): 8, (0, 2): 5, (0, 4): 1, (0, 7): 1, (0, 8): 3, (0, 9): 17, (0, 11): 5, (1, 3): 5, (1, 7): 32, (1, 10): 7, (2, 3): 1, (2, 5): 7, (2, 8): 14, (2, 10): 1, (3, 5): 7, (3, 6): 3, (3, 8): 4, (3, 9): 1, (3, 10): 14, (3, 12): 1, (4, 5): 5, (4, 6): 32, (4, 10): 18, (4, 11): 7, (4, 12): 1, (5, 8): 13, (6, 10): 18, (6, 12): 15, (7, 8): 13, (7, 9): 13, (7, 12): 1, (8, 12): 9, (9, 10): 1, (9, 12): 16, (10, 11): 12, (10, 12): 1}",75.81710815429688,36.0,13.0,72.0
3.0,Graph with 13 nodes and 43 edges,"[[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1], [0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0], [0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0], [1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0], [1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0], [0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1], [0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1], [1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1], [0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0]]",16.0,6.0,Y,"{0: 88, 1: 82, 2: 76, 3: 70, 4: 64, 5: 58, 6: 52, 7: 46, 8: 40, 9: 34, 10: 28, 11: 22, 12: 16}",Y,"{0: 88, 1: 82, 2: 76, 3: 70, 4: 64, 5: 58, 6: 52, 7: 46, 8: 40, 9: 34, 10: 28, 11: 22, 12: 16}","{(0, 4): 21, (0, 5): 47, (0, 6): 3, (0, 7): 15, (0, 10): 1, (0, 12): 1, (1, 2): 29, (1, 3): 27, (1, 5): 3, (1, 6): 12, (1, 8): 1, (1, 9): 8, (1, 10): 1, (1, 12): 1, (2, 3): 5, (2, 4): 1, (2, 5): 1, (2, 6): 24, (2, 10): 16, (3, 4): 13, (3, 7): 5, (3, 8): 11, (3, 9): 1, (3, 10): 1, (3, 11): 7, (4, 6): 9, (4, 7): 1, (4, 8): 1, (4, 9): 17, (4, 11): 1, (5, 6): 3, (5, 12): 4, (6, 11): 1, (7, 8): 16, (7, 11): 9, (8, 9): 5, (8, 10): 1, (8, 12): 5, (9, 10): 1, (9, 11): 1, (9, 12): 1, (10, 11): 3, (10, 12): 4}",67.94929504394531,43.0,13.0,86.0
4.0,Graph with 13 nodes and 34 edges,"[[0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0], [1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1], [0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1], [1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0], [0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]]",8.0,8.0,Y,"{0: 16, 1: 24, 2: 32, 3: 40, 4: 48, 5: 56, 6: 64, 7: 72, 8: 80, 9: 88, 10: 96, 11: 104, 12: 8}",Y,"{0: 16, 1: 24, 2: 32, 3: 40, 4: 48, 5: 56, 6: 64, 7: 72, 8: 80, 9: 88, 10: 96, 11: 104, 12: 8}","{(0, 1): 1, (0, 2): 1, (0, 4): 1, (0, 5): 1, (0, 6): 10, (0, 9): 1, (0, 11): 1, (1, 2): 1, (1, 9): 22, (2, 3): 1, (2, 4): 1, (2, 7): 14, (2, 11): 13, (2, 12): 1, (3, 4): 1, (3, 5): 1, (3, 6): 36, (3, 7): 1, (4, 8): 28, (4, 11): 16, (4, 12): 1, (5, 8): 51, (5, 10): 1, (5, 11): 1, (5, 12): 1, (6, 7): 1, (6, 10): 17, (7, 9): 55, (7, 11): 1, (8, 9): 1, (9, 10): 5, (9, 12): 4, (10, 11): 72, (10, 12): 1}",996.1128234863281,34.0,13.0,68.0
4.0,Graph with 13 nodes and 34 edges,"[[0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0], [1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1], [0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1], [1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0], [0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]]",20.0,7.0,Y,"{0: 27, 1: 34, 2: 41, 3: 48, 4: 55, 5: 62, 6: 69, 7: 76, 8: 83, 9: 90, 10: 97, 11: 104, 12: 20}",Y,"{0: 27, 1: 34, 2: 41, 3: 48, 4: 55, 5: 62, 6: 69, 7: 76, 8: 83, 9: 90, 10: 97, 11: 104, 12: 20}","{(0, 1): 1, (0, 2): 1, (0, 4): 1, (0, 5): 1, (0, 6): 7, (0, 9): 1, (0, 11): 15, (1, 2): 1, (1, 9): 32, (2, 3): 1, (2, 4): 1, (2, 7): 3, (2, 11): 33, (2, 12): 1, (3, 4): 1, (3, 5): 1, (3, 6): 44, (3, 7): 1, (4, 8): 50, (4, 11): 1, (4, 12): 1, (5, 8): 32, (5, 10): 26, (5, 11): 1, (5, 12): 1, (6, 7): 17, (6, 10): 1, (7, 9): 54, (7, 11): 1, (8, 9): 1, (9, 10): 1, (9, 12): 1, (10, 11): 53, (10, 12): 16}",1171.112060546875,34.0,13.0,68.0
5.0,Graph with 13 nodes and 41 edges,"[[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1], [0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1], [0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1], [0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1], [0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1], [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]]",8.0,4.0,Y,"{0: 12, 1: 16, 2: 20, 3: 24, 4: 28, 5: 32, 6: 36, 7: 40, 8: 44, 9: 48, 10: 52, 11: 8, 12: 56}",Y,"{0: 12, 1: 16, 2: 20, 3: 24, 4: 28, 5: 32, 6: 36, 7: 40, 8: 44, 9: 48, 10: 52, 11: 8, 12: 56}","{(0, 1): 1, (0, 6): 1, (0, 8): 1, (0, 10): 9, (1, 4): 1, (1, 7): 12, (1, 10): 1, (1, 11): 1, (2, 4): 1, (2, 9): 16, (2, 10): 1, (2, 11): 1, (2, 12): 1, (3, 4): 1, (3, 5): 1, (3, 6): 20, (3, 10): 1, (3, 12): 1, (4, 5): 1, (4, 6): 1, (4, 7): 1, (4, 8): 1, (4, 9): 19, (4, 10): 1, (4, 12): 1, (5, 8): 14, (5, 10): 14, (5, 11): 1, (5, 12): 1, (6, 9): 1, (6, 10): 1, (6, 11): 1, (6, 12): 11, (7, 10): 22, (7, 11): 3, (7, 12): 2, (8, 10): 1, (8, 12): 27, (9, 10): 1, (9, 12): 11, (11, 12): 1}",736.9518280029297,41.0,13.0,82.0
6.0,Graph with 13 nodes and 34 edges,"[[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1], [0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1], [1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0], [1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0], [0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]]",4.0,6.0,Y,"{0: 76, 1: 70, 2: 64, 3: 58, 4: 52, 5: 46, 6: 40, 7: 34, 8: 28, 9: 22, 10: 16, 11: 4, 12: 10}",Y,"{0: 76, 1: 70, 2: 64, 3: 58, 4: 52, 5: 46, 6: 40, 7: 34, 8: 28, 9: 22, 10: 16, 11: 4, 12: 10}","{(0, 1): 68, (0, 4): 5, (0, 6): 1, (0, 7): 1, (0, 8): 1, (1, 9): 1, (1, 12): 1, (2, 3): 53, (2, 7): 1, (2, 8): 2, (2, 9): 1, (2, 11): 1, (2, 12): 6, (3, 6): 1, (3, 8): 1, (3, 9): 1, (3, 11): 1, (3, 12): 1, (4, 5): 1, (4, 6): 21, (4, 7): 22, (4, 9): 1, (4, 10): 1, (4, 12): 1, (5, 7): 6, (5, 8): 21, (5, 9): 17, (5, 11): 1, (6, 7): 2, (6, 10): 15, (7, 8): 1, (7, 12): 1, (8, 9): 1, (8, 11): 1}",903.8448333740234,34.0,13.0,68.0
