graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
0.0,Graph with 10 nodes and 23 edges,"[[0, 0, 1, 0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 1, 0, 0, 1, 0], [1, 0, 0, 1, 0, 0, 0, 1, 0, 1], [0, 1, 1, 0, 1, 0, 0, 1, 0, 1], [0, 1, 0, 1, 0, 1, 0, 1, 0, 0], [0, 1, 0, 0, 1, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 0, 1, 1, 1, 1, 1, 0, 0, 1], [0, 1, 0, 0, 0, 1, 1, 0, 0, 1], [0, 0, 1, 1, 0, 1, 1, 1, 1, 0]]",9.0,6.0,Y,"{0: 45, 1: 21, 2: 57, 3: 51, 4: 15, 5: 39, 6: 33, 7: 63, 8: 9, 9: 27}",Y,"{0: 45, 1: 21, 2: 57, 3: 51, 4: 15, 5: 39, 6: 33, 7: 63, 8: 9, 9: 27}","{(0, 2): 41, (0, 6): 2, (0, 7): 2, (1, 3): 14, (1, 4): 4, (1, 5): 2, (1, 8): 1, (2, 3): 12, (2, 7): 1, (2, 9): 3, (3, 4): 9, (3, 7): 3, (3, 9): 13, (4, 5): 1, (4, 7): 1, (5, 7): 32, (5, 8): 2, (5, 9): 2, (6, 7): 23, (6, 8): 3, (6, 9): 5, (7, 9): 1, (8, 9): 3}",59.1278076171875,23.0,10.0,46.0
1.0,Graph with 10 nodes and 21 edges,"[[0, 0, 1, 1, 0, 1, 1, 0, 0, 1], [0, 0, 1, 1, 0, 1, 0, 0, 0, 0], [1, 1, 0, 1, 1, 1, 1, 0, 1, 0], [1, 1, 1, 0, 0, 1, 1, 1, 1, 0], [0, 0, 1, 0, 0, 1, 0, 0, 1, 0], [1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 1, 0], [0, 0, 1, 1, 1, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 0]]",17.0,2.0,Y,"{0: 35, 1: 33, 2: 31, 3: 29, 4: 27, 5: 25, 6: 23, 7: 21, 8: 19, 9: 17}",Y,"{0: 35, 1: 33, 2: 31, 3: 29, 4: 27, 5: 25, 6: 23, 7: 21, 8: 19, 9: 17}","{(0, 2): 1, (0, 3): 1, (0, 5): 2, (0, 6): 15, (0, 9): 16, (1, 2): 1, (1, 3): 12, (1, 5): 20, (2, 3): 1, (2, 4): 25, (2, 5): 1, (2, 6): 1, (2, 8): 1, (3, 5): 1, (3, 6): 7, (3, 7): 6, (3, 8): 1, (4, 5): 1, (4, 8): 1, (7, 8): 15, (8, 9): 1}",381.9465637207031,21.0,10.0,42.0
3.0,Graph with 10 nodes and 22 edges,"[[0, 1, 0, 1, 0, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 0, 1, 0, 1, 1], [0, 1, 0, 1, 1, 1, 1, 0, 1, 0], [1, 0, 1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0, 0, 1, 1], [0, 0, 1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1, 1, 0], [1, 0, 0, 1, 0, 0, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0, 1, 0, 0, 1], [0, 1, 0, 0, 1, 0, 0, 1, 1, 0]]",18.0,6.0,Y,"{0: 24, 1: 18, 2: 66, 3: 36, 4: 30, 5: 48, 6: 72, 7: 54, 8: 42, 9: 60}",Y,"{0: 24, 1: 18, 2: 66, 3: 36, 4: 30, 5: 48, 6: 72, 7: 54, 8: 42, 9: 60}","{(0, 1): 1, (0, 3): 20, (0, 7): 2, (0, 8): 1, (1, 2): 1, (1, 6): 14, (1, 8): 1, (1, 9): 1, (2, 3): 1, (2, 4): 1, (2, 5): 42, (2, 6): 20, (2, 8): 1, (3, 4): 1, (3, 7): 14, (4, 5): 6, (4, 8): 1, (4, 9): 21, (6, 7): 1, (6, 8): 37, (7, 9): 37, (8, 9): 1}",623.9414215087891,22.0,10.0,44.0
3.0,Graph with 10 nodes and 22 edges,"[[0, 1, 0, 1, 0, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 0, 1, 0, 1, 1], [0, 1, 0, 1, 1, 1, 1, 0, 1, 0], [1, 0, 1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0, 0, 1, 1], [0, 0, 1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1, 1, 0], [1, 0, 0, 1, 0, 0, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0, 1, 0, 0, 1], [0, 1, 0, 0, 1, 0, 0, 1, 1, 0]]",19.0,2.0,Y,"{0: 37, 1: 35, 2: 33, 3: 31, 4: 29, 5: 27, 6: 25, 7: 23, 8: 21, 9: 19}",Y,"{0: 37, 1: 35, 2: 33, 3: 31, 4: 29, 5: 27, 6: 25, 7: 23, 8: 21, 9: 19}","{(0, 1): 26, (0, 3): 9, (0, 7): 1, (0, 8): 1, (1, 2): 6, (1, 6): 1, (1, 8): 1, (1, 9): 1, (2, 3): 1, (2, 4): 1, (2, 5): 2, (2, 6): 22, (2, 8): 1, (3, 4): 1, (3, 7): 20, (4, 5): 25, (4, 8): 1, (4, 9): 1, (6, 7): 1, (6, 8): 1, (7, 9): 1, (8, 9): 16}",678.0624389648438,22.0,10.0,44.0
3.0,Graph with 10 nodes and 22 edges,"[[0, 1, 0, 1, 0, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 0, 1, 0, 1, 1], [0, 1, 0, 1, 1, 1, 1, 0, 1, 0], [1, 0, 1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0, 0, 1, 1], [0, 0, 1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1, 1, 0], [1, 0, 0, 1, 0, 0, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0, 1, 0, 0, 1], [0, 1, 0, 0, 1, 0, 0, 1, 1, 0]]",21.0,4.0,Y,"{0: 57, 1: 53, 2: 49, 3: 45, 4: 41, 5: 37, 6: 33, 7: 29, 8: 25, 9: 21}",Y,"{0: 57, 1: 53, 2: 49, 3: 45, 4: 41, 5: 37, 6: 33, 7: 29, 8: 25, 9: 21}","{(0, 1): 1, (0, 3): 10, (0, 7): 26, (0, 8): 20, (1, 2): 3, (1, 6): 30, (1, 8): 1, (1, 9): 18, (2, 3): 2, (2, 4): 6, (2, 5): 36, (2, 6): 1, (2, 8): 1, (3, 4): 32, (3, 7): 1, (4, 5): 1, (4, 8): 1, (4, 9): 1, (6, 7): 1, (6, 8): 1, (7, 9): 1, (8, 9): 1}",211.0004425048828,22.0,10.0,44.0
4.0,Graph with 10 nodes and 18 edges,"[[0, 1, 0, 0, 1, 0, 1, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 1, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 1, 1, 1, 0, 1, 0], [1, 0, 0, 1, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0, 0, 0]]",14.0,8.0,Y,"{0: 86, 1: 38, 2: 14, 3: 22, 4: 78, 5: 54, 6: 46, 7: 70, 8: 30, 9: 62}",Y,"{0: 86, 1: 38, 2: 14, 3: 22, 4: 78, 5: 54, 6: 46, 7: 70, 8: 30, 9: 62}","{(0, 1): 1, (0, 4): 34, (0, 6): 1, (0, 7): 25, (0, 8): 15, (0, 9): 10, (1, 5): 1, (1, 6): 1, (1, 7): 35, (2, 3): 13, (2, 7): 1, (3, 8): 9, (4, 6): 43, (4, 7): 1, (5, 7): 1, (5, 9): 52, (6, 7): 1, (7, 8): 6}",725.9845733642578,18.0,10.0,36.0
4.0,Graph with 10 nodes and 18 edges,"[[0, 1, 0, 0, 1, 0, 1, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 1, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 1, 1, 1, 0, 1, 0], [1, 0, 0, 1, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0, 0, 0]]",27.0,8.0,Y,"{0: 99, 1: 43, 2: 35, 3: 51, 4: 91, 5: 67, 6: 27, 7: 75, 8: 59, 9: 83}",Y,"{0: 99, 1: 43, 2: 35, 3: 51, 4: 91, 5: 67, 6: 27, 7: 75, 8: 59, 9: 83}","{(0, 1): 17, (0, 4): 1, (0, 6): 1, (0, 7): 1, (0, 8): 41, (0, 9): 38, (1, 5): 21, (1, 6): 4, (1, 7): 1, (2, 3): 34, (2, 7): 1, (3, 8): 17, (4, 6): 21, (4, 7): 69, (5, 7): 1, (5, 9): 45, (6, 7): 1, (7, 8): 1}",26.941299438476562,18.0,10.0,36.0
6.0,Graph with 10 nodes and 21 edges,"[[0, 1, 0, 0, 1, 0, 0, 0, 1, 0], [1, 0, 1, 1, 0, 1, 0, 0, 1, 0], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 1, 0, 1, 1], [0, 1, 1, 0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 1, 1, 1, 0, 1, 1, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1, 0, 0]]",24.0,8.0,Y,"{0: 32, 1: 80, 2: 88, 3: 64, 4: 48, 5: 72, 6: 56, 7: 24, 8: 96, 9: 40}",Y,"{0: 32, 1: 80, 2: 88, 3: 64, 4: 48, 5: 72, 6: 56, 7: 24, 8: 96, 9: 40}","{(0, 1): 2, (0, 4): 1, (0, 8): 29, (1, 2): 44, (1, 3): 1, (1, 5): 32, (1, 8): 1, (2, 3): 1, (2, 4): 4, (2, 5): 38, (2, 8): 1, (3, 8): 62, (4, 5): 1, (4, 6): 40, (4, 8): 1, (4, 9): 1, (5, 9): 1, (6, 8): 1, (6, 9): 15, (7, 8): 1, (7, 9): 23}",453.948974609375,21.0,10.0,42.0
6.0,Graph with 10 nodes and 21 edges,"[[0, 1, 0, 0, 1, 0, 0, 0, 1, 0], [1, 0, 1, 1, 0, 1, 0, 0, 1, 0], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 1, 0, 1, 1], [0, 1, 1, 0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 1, 1, 1, 0, 1, 1, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1, 0, 0]]",25.0,8.0,Y,"{0: 97, 1: 81, 2: 89, 3: 65, 4: 25, 5: 33, 6: 57, 7: 41, 8: 73, 9: 49}",Y,"{0: 97, 1: 81, 2: 89, 3: 65, 4: 25, 5: 33, 6: 57, 7: 41, 8: 73, 9: 49}","{(0, 1): 77, (0, 4): 14, (0, 8): 6, (1, 2): 1, (1, 3): 1, (1, 5): 1, (1, 8): 1, (2, 3): 50, (2, 4): 7, (2, 5): 30, (2, 8): 1, (3, 8): 14, (4, 5): 1, (4, 6): 1, (4, 8): 1, (4, 9): 1, (5, 9): 1, (6, 8): 49, (6, 9): 7, (7, 8): 1, (7, 9): 40}",640.869140625,21.0,10.0,42.0
7.0,Graph with 10 nodes and 23 edges,"[[0, 1, 1, 0, 1, 0, 1, 1, 0, 0], [1, 0, 0, 0, 1, 0, 1, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1, 1, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 1, 1, 1], [1, 1, 1, 1, 0, 1, 0, 1, 0, 0], [1, 0, 0, 1, 0, 1, 1, 0, 1, 0], [0, 1, 1, 0, 0, 1, 0, 1, 0, 1], [0, 1, 1, 0, 1, 1, 0, 0, 1, 0]]",24.0,6.0,Y,"{0: 42, 1: 36, 2: 48, 3: 66, 4: 24, 5: 54, 6: 60, 7: 78, 8: 72, 9: 30}",Y,"{0: 42, 1: 36, 2: 48, 3: 66, 4: 24, 5: 54, 6: 60, 7: 78, 8: 72, 9: 30}","{(0, 1): 1, (0, 2): 1, (0, 4): 1, (0, 6): 5, (0, 7): 34, (1, 4): 21, (1, 6): 4, (1, 8): 1, (1, 9): 9, (2, 6): 1, (2, 8): 31, (2, 9): 15, (3, 5): 1, (3, 6): 46, (3, 7): 19, (4, 9): 2, (5, 6): 1, (5, 7): 16, (5, 8): 33, (5, 9): 3, (6, 7): 3, (7, 8): 6, (8, 9): 1}",41.961669921875,23.0,10.0,46.0
