graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
0.0,Graph with 10 nodes and 23 edges,"[[0, 0, 1, 0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 1, 0, 0, 1, 0], [1, 0, 0, 1, 0, 0, 0, 1, 0, 1], [0, 1, 1, 0, 1, 0, 0, 1, 0, 1], [0, 1, 0, 1, 0, 1, 0, 1, 0, 0], [0, 1, 0, 0, 1, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 0, 1, 1, 1, 1, 1, 0, 0, 1], [0, 1, 0, 0, 0, 1, 1, 0, 0, 1], [0, 0, 1, 1, 0, 1, 1, 1, 1, 0]]",9.0,6.0,Y,"{0: 45, 1: 21, 2: 57, 3: 51, 4: 15, 5: 39, 6: 33, 7: 63, 8: 9, 9: 27}","{(0, 2): 21, (0, 6): 1, (0, 7): 23, (1, 3): 3, (1, 4): 1, (1, 5): 16, (1, 8): 1, (2, 3): 34, (2, 7): 1, (2, 9): 1, (3, 4): 1, (3, 7): 4, (3, 9): 9, (4, 5): 6, (4, 7): 7, (5, 7): 8, (5, 8): 6, (5, 9): 3, (6, 7): 19, (6, 8): 1, (6, 9): 12, (7, 9): 1, (8, 9): 1}",77.96287536621094,123.0,30.0,346.0
1.0,Graph with 10 nodes and 21 edges,"[[0, 0, 1, 1, 0, 1, 1, 0, 0, 1], [0, 0, 1, 1, 0, 1, 0, 0, 0, 0], [1, 1, 0, 1, 1, 1, 1, 0, 1, 0], [1, 1, 1, 0, 0, 1, 1, 1, 1, 0], [0, 0, 1, 0, 0, 1, 0, 0, 1, 0], [1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 1, 0], [0, 0, 1, 1, 1, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 0]]",17.0,2.0,Y,"{0: 35, 1: 33, 2: 31, 3: 29, 4: 27, 5: 25, 6: 23, 7: 21, 8: 19, 9: 17}","{(0, 2): 2, (0, 3): 1, (0, 5): 1, (0, 6): 21, (0, 9): 10, (1, 2): 1, (1, 3): 12, (1, 5): 20, (2, 3): 1, (2, 4): 24, (2, 5): 1, (2, 6): 1, (2, 8): 1, (3, 5): 1, (3, 6): 1, (3, 7): 12, (3, 8): 1, (4, 5): 2, (4, 8): 1, (7, 8): 9, (8, 9): 7}",544.0711975097656,121.0,30.0,342.0
3.0,Graph with 10 nodes and 22 edges,"[[0, 1, 0, 1, 0, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 0, 1, 0, 1, 1], [0, 1, 0, 1, 1, 1, 1, 0, 1, 0], [1, 0, 1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0, 0, 1, 1], [0, 0, 1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1, 1, 0], [1, 0, 0, 1, 0, 0, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0, 1, 0, 0, 1], [0, 1, 0, 0, 1, 0, 0, 1, 1, 0]]",18.0,6.0,Y,"{0: 24, 1: 18, 2: 66, 3: 36, 4: 30, 5: 48, 6: 72, 7: 54, 8: 42, 9: 60}","{(0, 1): 1, (0, 3): 20, (0, 7): 1, (0, 8): 2, (1, 2): 1, (1, 6): 14, (1, 8): 1, (1, 9): 1, (2, 3): 1, (2, 4): 1, (2, 5): 31, (2, 6): 31, (2, 8): 1, (3, 4): 1, (3, 7): 14, (4, 5): 17, (4, 8): 1, (4, 9): 10, (6, 7): 21, (6, 8): 6, (7, 9): 18, (8, 9): 31}",98.94371032714844,122.0,30.0,344.0
3.0,Graph with 10 nodes and 22 edges,"[[0, 1, 0, 1, 0, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 0, 1, 0, 1, 1], [0, 1, 0, 1, 1, 1, 1, 0, 1, 0], [1, 0, 1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0, 0, 1, 1], [0, 0, 1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1, 1, 0], [1, 0, 0, 1, 0, 0, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0, 1, 0, 0, 1], [0, 1, 0, 0, 1, 0, 0, 1, 1, 0]]",19.0,2.0,Y,"{0: 37, 1: 35, 2: 33, 3: 31, 4: 29, 5: 27, 6: 25, 7: 23, 8: 21, 9: 19}","{(0, 1): 1, (0, 3): 21, (0, 7): 14, (0, 8): 1, (1, 2): 1, (1, 6): 16, (1, 8): 16, (1, 9): 1, (2, 3): 1, (2, 4): 3, (2, 5): 26, (2, 6): 1, (2, 8): 1, (3, 4): 8, (3, 7): 1, (4, 5): 1, (4, 8): 1, (4, 9): 16, (6, 7): 7, (6, 8): 1, (7, 9): 1, (8, 9): 1}",572.9198455810547,122.0,30.0,344.0
3.0,Graph with 10 nodes and 22 edges,"[[0, 1, 0, 1, 0, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 0, 1, 0, 1, 1], [0, 1, 0, 1, 1, 1, 1, 0, 1, 0], [1, 0, 1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0, 0, 1, 1], [0, 0, 1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1, 1, 0], [1, 0, 0, 1, 0, 0, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0, 1, 0, 0, 1], [0, 1, 0, 0, 1, 0, 0, 1, 1, 0]]",21.0,4.0,Y,"{0: 57, 1: 53, 2: 49, 3: 45, 4: 41, 5: 37, 6: 33, 7: 29, 8: 25, 9: 21}","{(0, 1): 1, (0, 3): 10, (0, 7): 26, (0, 8): 20, (1, 2): 3, (1, 6): 30, (1, 8): 1, (1, 9): 18, (2, 3): 2, (2, 4): 6, (2, 5): 36, (2, 6): 1, (2, 8): 1, (3, 4): 32, (3, 7): 1, (4, 5): 1, (4, 8): 1, (4, 9): 1, (6, 7): 1, (6, 8): 1, (7, 9): 1, (8, 9): 1}",680.2082061767578,122.0,30.0,344.0
4.0,Graph with 10 nodes and 18 edges,"[[0, 1, 0, 0, 1, 0, 1, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 1, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 1, 1, 1, 0, 1, 0], [1, 0, 0, 1, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0, 0, 0]]",14.0,8.0,Y,"{0: 86, 1: 38, 2: 14, 3: 22, 4: 78, 5: 54, 6: 46, 7: 70, 8: 30, 9: 62}","{(0, 1): 3, (0, 4): 57, (0, 6): 6, (0, 7): 1, (0, 8): 8, (0, 9): 11, (1, 5): 1, (1, 6): 1, (1, 7): 33, (2, 3): 1, (2, 7): 13, (3, 8): 21, (4, 6): 20, (4, 7): 1, (5, 7): 2, (5, 9): 51, (6, 7): 19, (7, 8): 1}",108.95729064941406,118.0,30.0,336.0
4.0,Graph with 10 nodes and 18 edges,"[[0, 1, 0, 0, 1, 0, 1, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 1, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 1, 1, 1, 0, 1, 0], [1, 0, 0, 1, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0, 0, 0]]",27.0,8.0,Y,"{0: 99, 1: 43, 2: 35, 3: 51, 4: 91, 5: 67, 6: 27, 7: 75, 8: 59, 9: 83}","{(0, 1): 1, (0, 4): 27, (0, 6): 1, (0, 7): 1, (0, 8): 32, (0, 9): 37, (1, 5): 20, (1, 6): 19, (1, 7): 3, (2, 3): 25, (2, 7): 10, (3, 8): 26, (4, 6): 6, (4, 7): 58, (5, 7): 1, (5, 9): 46, (6, 7): 1, (7, 8): 1}",917.9115295410156,118.0,30.0,336.0
6.0,Graph with 10 nodes and 21 edges,"[[0, 1, 0, 0, 1, 0, 0, 0, 1, 0], [1, 0, 1, 1, 0, 1, 0, 0, 1, 0], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 1, 0, 1, 1], [0, 1, 1, 0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 1, 1, 1, 0, 1, 1, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1, 0, 0]]",24.0,8.0,Y,"{0: 32, 1: 80, 2: 88, 3: 64, 4: 48, 5: 72, 6: 56, 7: 24, 8: 96, 9: 40}","{(0, 1): 30, (0, 4): 1, (0, 8): 1, (1, 2): 1, (1, 3): 1, (1, 5): 1, (1, 8): 47, (2, 3): 62, (2, 4): 1, (2, 5): 23, (2, 8): 1, (3, 8): 1, (4, 5): 43, (4, 6): 1, (4, 8): 1, (4, 9): 1, (5, 9): 5, (6, 8): 44, (6, 9): 11, (7, 8): 1, (7, 9): 23}",3093.0042266845703,121.0,30.0,342.0
6.0,Graph with 10 nodes and 21 edges,"[[0, 1, 0, 0, 1, 0, 0, 0, 1, 0], [1, 0, 1, 1, 0, 1, 0, 0, 1, 0], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 1, 0, 1, 1], [0, 1, 1, 0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 1, 1, 1, 0, 1, 1, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1, 0, 0]]",25.0,8.0,Y,"{0: 97, 1: 81, 2: 89, 3: 65, 4: 25, 5: 33, 6: 57, 7: 41, 8: 73, 9: 49}","{(0, 1): 68, (0, 4): 5, (0, 8): 24, (1, 2): 1, (1, 3): 1, (1, 5): 10, (1, 8): 1, (2, 3): 63, (2, 4): 7, (2, 5): 17, (2, 8): 1, (3, 8): 1, (4, 5): 5, (4, 6): 6, (4, 8): 1, (4, 9): 1, (5, 9): 1, (6, 8): 39, (6, 9): 12, (7, 8): 6, (7, 9): 35}",3205.0609588623047,121.0,30.0,342.0
7.0,Graph with 10 nodes and 23 edges,"[[0, 1, 1, 0, 1, 0, 1, 1, 0, 0], [1, 0, 0, 0, 1, 0, 1, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1, 1, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 1, 1, 1], [1, 1, 1, 1, 0, 1, 0, 1, 0, 0], [1, 0, 0, 1, 0, 1, 1, 0, 1, 0], [0, 1, 1, 0, 0, 1, 0, 1, 0, 1], [0, 1, 1, 0, 1, 1, 0, 0, 1, 0]]",24.0,6.0,Y,"{0: 42, 1: 36, 2: 48, 3: 66, 4: 24, 5: 54, 6: 60, 7: 78, 8: 72, 9: 30}","{(0, 1): 1, (0, 2): 24, (0, 4): 13, (0, 6): 1, (0, 7): 3, (1, 4): 9, (1, 6): 1, (1, 8): 2, (1, 9): 23, (2, 6): 22, (2, 8): 1, (2, 9): 1, (3, 5): 44, (3, 6): 21, (3, 7): 1, (4, 9): 2, (5, 6): 1, (5, 7): 1, (5, 8): 7, (5, 9): 1, (6, 7): 14, (7, 8): 59, (8, 9): 3}",89.88380432128906,123.0,30.0,346.0
