graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
0.0,Graph with 14 nodes and 44 edges,"[[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1], [1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1], [0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1], [1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1], [0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0], [1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0], [0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0], [1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1], [1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0]]",4.0,4.0,Y,"{0: 8, 1: 56, 2: 52, 3: 48, 4: 44, 5: 12, 6: 40, 7: 4, 8: 36, 9: 32, 10: 28, 11: 24, 12: 20, 13: 16}","{(0, 2): 1, (0, 4): 1, (0, 8): 4, (0, 10): 1, (0, 12): 1, (1, 4): 18, (1, 5): 1, (1, 8): 10, (1, 9): 25, (1, 11): 1, (1, 13): 1, (2, 3): 10, (2, 5): 1, (2, 6): 36, (2, 9): 1, (2, 11): 1, (2, 12): 1, (2, 13): 1, (3, 5): 3, (3, 9): 4, (3, 10): 22, (3, 13): 9, (4, 5): 1, (4, 8): 5, (4, 10): 1, (4, 11): 17, (4, 13): 1, (5, 6): 1, (5, 7): 2, (5, 8): 1, (5, 12): 1, (5, 13): 1, (6, 10): 1, (6, 11): 1, (6, 13): 1, (7, 9): 1, (7, 12): 1, (8, 10): 1, (8, 12): 15, (9, 11): 1, (10, 11): 1, (10, 13): 1, (11, 12): 1, (11, 13): 1}",2600.0000000294676
3.0,Graph with 14 nodes and 48 edges,"[[0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1], [1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0], [1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0], [0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0], [1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0], [0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1], [1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]]",4.0,5.0,Y,"{0: 9, 1: 4, 2: 69, 3: 64, 4: 59, 5: 54, 6: 49, 7: 44, 8: 39, 9: 34, 10: 29, 11: 24, 12: 19, 13: 14}","{(0, 1): 1, (0, 4): 1, (0, 5): 1, (0, 8): 1, (0, 9): 1, (0, 10): 1, (0, 12): 2, (0, 13): 1, (1, 4): 1, (1, 5): 1, (1, 12): 1, (2, 3): 24, (2, 5): 1, (2, 6): 33, (2, 8): 1, (2, 9): 1, (2, 12): 8, (3, 5): 1, (3, 7): 37, (3, 12): 1, (3, 13): 1, (4, 6): 10, (4, 9): 27, (4, 10): 1, (4, 11): 18, (4, 12): 1, (5, 7): 1, (5, 8): 23, (5, 10): 22, (5, 11): 4, (6, 7): 1, (6, 9): 1, (6, 10): 1, (6, 11): 1, (6, 12): 1, (7, 8): 1, (7, 9): 1, (7, 10): 1, (7, 12): 1, (7, 13): 1, (8, 9): 1, (8, 10): 1, (8, 11): 1, (8, 13): 10, (9, 10): 1, (9, 12): 1, (10, 12): 1, (12, 13): 1}",2379.000000019005
3.0,Graph with 14 nodes and 48 edges,"[[0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1], [1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0], [1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0], [0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1], [1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0], [1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0], [0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1], [1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]]",4.0,6.0,Y,"{0: 10, 1: 4, 2: 82, 3: 76, 4: 70, 5: 64, 6: 58, 7: 52, 8: 46, 9: 40, 10: 34, 11: 28, 12: 22, 13: 16}","{(0, 1): 1, (0, 4): 1, (0, 5): 3, (0, 8): 1, (0, 9): 1, (0, 10): 1, (0, 12): 1, (0, 13): 1, (1, 4): 1, (1, 5): 1, (1, 12): 1, (2, 3): 68, (2, 5): 1, (2, 6): 1, (2, 8): 1, (2, 9): 9, (2, 12): 1, (3, 5): 4, (3, 7): 1, (3, 12): 1, (3, 13): 1, (4, 6): 52, (4, 9): 13, (4, 10): 1, (4, 11): 1, (4, 12): 1, (5, 7): 1, (5, 8): 1, (5, 10): 27, (5, 11): 25, (6, 7): 1, (6, 9): 1, (6, 10): 1, (6, 11): 1, (6, 12): 1, (7, 8): 36, (7, 9): 1, (7, 10): 1, (7, 12): 1, (7, 13): 9, (8, 9): 1, (8, 10): 1, (8, 11): 1, (8, 13): 3, (9, 10): 1, (9, 12): 13, (10, 12): 1, (12, 13): 1}",2394.000000037977
4.0,Graph with 14 nodes and 38 edges,"[[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1], [1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0], [1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0], [1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0], [1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0], [0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]]",3.0,6.0,Y,"{0: 9, 1: 81, 2: 75, 3: 69, 4: 63, 5: 57, 6: 51, 7: 3, 8: 45, 9: 39, 10: 33, 11: 27, 12: 21, 13: 15}","{(0, 2): 2, (0, 3): 1, (0, 4): 1, (0, 6): 1, (0, 8): 1, (0, 9): 1, (0, 11): 1, (0, 13): 1, (1, 4): 60, (1, 8): 19, (1, 11): 1, (1, 13): 1, (2, 3): 15, (2, 6): 27, (2, 7): 1, (2, 10): 28, (2, 11): 2, (3, 4): 1, (3, 5): 37, (3, 7): 1, (3, 8): 13, (3, 11): 1, (4, 6): 1, (5, 6): 1, (5, 7): 1, (5, 8): 1, (5, 9): 16, (5, 10): 1, (6, 9): 1, (6, 10): 1, (6, 12): 19, (8, 13): 11, (9, 10): 1, (9, 11): 20, (10, 12): 1, (10, 13): 1, (11, 12): 1, (11, 13): 1}",2292.000000011285
4.0,Graph with 14 nodes and 38 edges,"[[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1], [1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0], [1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0], [1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0], [1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0], [0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]]",3.0,8.0,Y,"{0: 11, 1: 107, 2: 99, 3: 91, 4: 83, 5: 75, 6: 67, 7: 3, 8: 59, 9: 51, 10: 43, 11: 35, 12: 27, 13: 19}","{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 6): 1, (0, 8): 4, (0, 9): 1, (0, 11): 1, (0, 13): 1, (1, 4): 80, (1, 8): 25, (1, 11): 1, (1, 13): 1, (2, 3): 21, (2, 6): 37, (2, 7): 1, (2, 10): 38, (2, 11): 1, (3, 4): 1, (3, 5): 52, (3, 7): 1, (3, 8): 14, (3, 11): 1, (4, 6): 1, (5, 6): 1, (5, 7): 1, (5, 8): 1, (5, 9): 19, (5, 10): 1, (6, 9): 1, (6, 10): 1, (6, 12): 25, (8, 13): 15, (9, 10): 1, (9, 11): 29, (10, 12): 1, (10, 13): 1, (11, 12): 1, (11, 13): 1}",2319.999999997435
7.0,Graph with 14 nodes and 49 edges,"[[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0], [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0], [1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0], [0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0]]",3.0,2.0,Y,"{0: 7, 1: 29, 2: 5, 3: 27, 4: 9, 5: 25, 6: 11, 7: 23, 8: 21, 9: 19, 10: 17, 11: 15, 12: 3, 13: 13}","{(0, 4): 1, (0, 5): 1, (0, 6): 1, (0, 7): 1, (0, 8): 1, (0, 11): 1, (0, 13): 1, (1, 4): 1, (1, 6): 1, (1, 7): 2, (1, 8): 3, (1, 9): 13, (1, 11): 1, (1, 13): 8, (2, 3): 2, (2, 6): 1, (2, 7): 1, (2, 8): 1, (3, 5): 9, (3, 6): 1, (3, 7): 14, (3, 11): 1, (4, 5): 1, (4, 6): 1, (4, 8): 2, (4, 9): 1, (4, 10): 1, (4, 12): 1, (5, 6): 1, (5, 7): 1, (5, 8): 1, (5, 10): 11, (6, 7): 1, (6, 8): 1, (6, 9): 1, (6, 11): 1, (6, 13): 1, (7, 8): 1, (7, 10): 1, (7, 12): 1, (8, 9): 2, (8, 10): 1, (8, 11): 8, (9, 11): 1, (9, 13): 1, (10, 11): 1, (10, 12): 1, (10, 13): 1, (11, 13): 1}",2232.9999999897154
7.0,Graph with 14 nodes and 49 edges,"[[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0], [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0], [1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0], [0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0]]",3.0,3.0,Y,"{0: 9, 1: 42, 2: 6, 3: 39, 4: 36, 5: 33, 6: 12, 7: 30, 8: 27, 9: 24, 10: 21, 11: 18, 12: 3, 13: 15}","{(0, 4): 1, (0, 5): 1, (0, 6): 1, (0, 7): 1, (0, 8): 3, (0, 11): 1, (0, 13): 1, (1, 4): 29, (1, 6): 1, (1, 7): 1, (1, 8): 1, (1, 9): 7, (1, 11): 1, (1, 13): 1, (2, 3): 1, (2, 6): 1, (2, 7): 1, (2, 8): 3, (3, 5): 4, (3, 6): 1, (3, 7): 22, (3, 11): 11, (4, 5): 1, (4, 6): 1, (4, 8): 1, (4, 9): 1, (4, 10): 1, (4, 12): 1, (5, 6): 1, (5, 7): 1, (5, 8): 10, (5, 10): 15, (6, 7): 1, (6, 8): 2, (6, 9): 1, (6, 11): 1, (6, 13): 1, (7, 8): 1, (7, 10): 1, (7, 12): 1, (8, 9): 3, (8, 10): 1, (8, 11): 1, (9, 11): 1, (9, 13): 10, (10, 11): 1, (10, 12): 1, (10, 13): 1, (11, 13): 1}",2359.0000000126565
7.0,Graph with 14 nodes and 49 edges,"[[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0], [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0], [1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0], [0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0]]",3.0,9.0,Y,"{0: 12, 1: 120, 2: 111, 3: 102, 4: 93, 5: 84, 6: 75, 7: 66, 8: 57, 9: 48, 10: 39, 11: 30, 12: 3, 13: 21}","{(0, 4): 1, (0, 5): 6, (0, 6): 1, (0, 7): 1, (0, 8): 1, (0, 11): 1, (0, 13): 1, (1, 4): 57, (1, 6): 1, (1, 7): 1, (1, 8): 1, (1, 9): 43, (1, 11): 1, (1, 13): 16, (2, 3): 98, (2, 6): 1, (2, 7): 1, (2, 8): 11, (3, 5): 1, (3, 6): 1, (3, 7): 1, (3, 11): 1, (4, 5): 1, (4, 6): 1, (4, 8): 1, (4, 9): 1, (4, 10): 30, (4, 12): 1, (5, 6): 9, (5, 7): 58, (5, 8): 4, (5, 10): 4, (6, 7): 1, (6, 8): 34, (6, 9): 1, (6, 11): 23, (6, 13): 1, (7, 8): 1, (7, 10): 1, (7, 12): 1, (8, 9): 1, (8, 10): 1, (8, 11): 1, (9, 11): 1, (9, 13): 1, (10, 11): 1, (10, 12): 1, (10, 13): 1, (11, 13): 1}",2431.0000000014043
7.0,Graph with 14 nodes and 49 edges,"[[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0], [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0], [1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0], [0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0]]",4.0,6.0,Y,"{0: 10, 1: 82, 2: 4, 3: 76, 4: 70, 5: 64, 6: 16, 7: 58, 8: 52, 9: 46, 10: 40, 11: 34, 12: 28, 13: 22}","{(0, 4): 1, (0, 5): 1, (0, 6): 4, (0, 7): 1, (0, 8): 1, (0, 11): 1, (0, 13): 1, (1, 4): 1, (1, 6): 1, (1, 7): 1, (1, 8): 2, (1, 9): 41, (1, 11): 19, (1, 13): 17, (2, 3): 1, (2, 6): 1, (2, 7): 1, (2, 8): 1, (3, 5): 13, (3, 6): 3, (3, 7): 50, (3, 11): 9, (4, 5): 5, (4, 6): 1, (4, 8): 1, (4, 9): 1, (4, 10): 34, (4, 12): 26, (5, 6): 1, (5, 7): 1, (5, 8): 42, (5, 10): 1, (6, 7): 1, (6, 8): 1, (6, 9): 1, (6, 11): 1, (6, 13): 1, (7, 8): 1, (7, 10): 1, (7, 12): 1, (8, 9): 1, (8, 10): 1, (8, 11): 1, (9, 11): 1, (9, 13): 1, (10, 11): 1, (10, 12): 1, (10, 13): 1, (11, 13): 1}",2420.9999999698084
8.0,Graph with 14 nodes and 46 edges,"[[0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1], [0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1], [0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0], [1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0], [1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]]",2.0,9.0,Y,"{0: 110, 1: 65, 2: 11, 3: 74, 4: 83, 5: 92, 6: 101, 7: 29, 8: 56, 9: 38, 10: 2, 11: 119, 12: 47, 13: 20}","{(0, 1): 1, (0, 3): 1, (0, 4): 55, (0, 5): 48, (0, 6): 1, (0, 9): 1, (0, 11): 1, (0, 12): 1, (0, 13): 1, (1, 3): 48, (1, 4): 1, (1, 7): 1, (1, 8): 11, (1, 11): 1, (1, 13): 1, (2, 7): 10, (2, 8): 1, (3, 4): 1, (3, 6): 1, (3, 7): 1, (3, 8): 18, (3, 11): 1, (3, 12): 1, (3, 13): 1, (4, 6): 24, (4, 7): 1, (4, 8): 1, (5, 8): 1, (5, 12): 42, (5, 13): 1, (6, 8): 1, (6, 11): 73, (6, 13): 1, (7, 8): 1, (7, 9): 1, (7, 11): 13, (7, 13): 1, (8, 9): 6, (8, 11): 1, (8, 12): 1, (8, 13): 13, (9, 11): 28, (9, 12): 1, (9, 13): 1, (10, 11): 1, (10, 12): 1}",2625.999999963824
