graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
0.0,Graph with 11 nodes and 30 edges,"[[0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1], [1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0], [1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0], [1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0]]",4.0,5.0,Y,"{0: 44, 1: 9, 2: 14, 3: 29, 4: 54, 5: 49, 6: 4, 7: 34, 8: 39, 9: 19, 10: 24}","{(0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 23, (0, 6): 1, (0, 7): 5, (0, 8): 10, (0, 10): 1, (1, 4): 1, (1, 5): 6, (1, 10): 1, (2, 3): 1, (2, 7): 1, (2, 8): 11, (3, 4): 1, (3, 5): 12, (3, 6): 2, (3, 7): 9, (3, 8): 1, (3, 9): 1, (4, 5): 27, (4, 10): 1, (5, 7): 1, (5, 9): 1, (5, 10): 1, (6, 10): 1, (7, 10): 17, (8, 9): 16, (8, 10): 1, (9, 10): 1}",1870.9999999941829
0.0,Graph with 11 nodes and 30 edges,"[[0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1], [1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0], [1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0], [1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0]]",4.0,6.0,Y,"{0: 52, 1: 10, 2: 16, 3: 34, 4: 64, 5: 58, 6: 4, 7: 40, 8: 46, 9: 22, 10: 28}","{(0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 29, (0, 6): 1, (0, 7): 6, (0, 8): 12, (0, 10): 1, (1, 4): 1, (1, 5): 7, (1, 10): 1, (2, 3): 1, (2, 7): 1, (2, 8): 13, (3, 4): 1, (3, 5): 16, (3, 6): 2, (3, 7): 11, (3, 8): 1, (3, 9): 1, (4, 5): 32, (4, 10): 1, (5, 7): 1, (5, 9): 1, (5, 10): 1, (6, 10): 1, (7, 10): 21, (8, 9): 19, (8, 10): 1, (9, 10): 1}",2101.0000000103446
1.0,Graph with 11 nodes and 21 edges,"[[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1], [0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]]",2.0,2.0,Y,"{0: 14, 1: 22, 2: 16, 3: 4, 4: 12, 5: 8, 6: 20, 7: 2, 8: 6, 9: 10, 10: 18}","{(0, 4): 1, (0, 6): 6, (0, 9): 7, (1, 2): 4, (1, 5): 1, (1, 6): 6, (1, 8): 1, (1, 9): 1, (1, 10): 9, (2, 4): 7, (2, 5): 1, (2, 6): 1, (2, 9): 1, (2, 10): 2, (3, 4): 3, (3, 5): 1, (4, 10): 1, (5, 6): 5, (6, 7): 2, (8, 10): 5, (9, 10): 1}",2043.0000000004611
1.0,Graph with 11 nodes and 21 edges,"[[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1], [0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]]",2.0,7.0,Y,"{0: 44, 1: 37, 2: 23, 3: 16, 4: 51, 5: 58, 6: 65, 7: 2, 8: 9, 9: 72, 10: 30}","{(0, 4): 9, (0, 6): 1, (0, 9): 34, (1, 2): 1, (1, 5): 1, (1, 6): 6, (1, 8): 8, (1, 9): 19, (1, 10): 1, (2, 4): 1, (2, 5): 1, (2, 6): 1, (2, 9): 18, (2, 10): 1, (3, 4): 15, (3, 5): 1, (4, 10): 26, (5, 6): 54, (6, 7): 2, (8, 10): 1, (9, 10): 1}",2183.9999999997417
1.0,Graph with 11 nodes and 21 edges,"[[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1], [0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]]",3.0,2.0,Y,"{0: 5, 1: 23, 2: 19, 3: 9, 4: 17, 5: 13, 6: 21, 7: 7, 8: 3, 9: 15, 10: 11}","{(0, 4): 3, (0, 6): 1, (0, 9): 1, (1, 2): 10, (1, 5): 1, (1, 6): 2, (1, 8): 2, (1, 9): 6, (1, 10): 1, (2, 4): 4, (2, 5): 1, (2, 6): 1, (2, 9): 1, (2, 10): 1, (3, 4): 8, (3, 5): 1, (4, 10): 1, (5, 6): 10, (6, 7): 7, (8, 10): 1, (9, 10): 6}",1889.999999988845
1.0,Graph with 11 nodes and 21 edges,"[[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1], [0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]]",4.0,7.0,Y,"{0: 4, 1: 11, 2: 74, 3: 67, 4: 60, 5: 53, 6: 46, 7: 39, 8: 18, 9: 32, 10: 25}","{(0, 4): 1, (0, 6): 1, (0, 9): 2, (1, 2): 1, (1, 5): 1, (1, 6): 1, (1, 8): 1, (1, 9): 6, (1, 10): 1, (2, 4): 1, (2, 5): 41, (2, 6): 4, (2, 9): 22, (2, 10): 4, (3, 4): 57, (3, 5): 10, (4, 10): 1, (5, 6): 1, (6, 7): 39, (8, 10): 17, (9, 10): 1}",2461.0000000109267
1.0,Graph with 11 nodes and 21 edges,"[[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1], [0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]]",4.0,9.0,Y,"{0: 4, 1: 13, 2: 94, 3: 85, 4: 76, 5: 67, 6: 58, 7: 49, 8: 22, 9: 40, 10: 31}","{(0, 4): 1, (0, 6): 1, (0, 9): 2, (1, 2): 1, (1, 5): 1, (1, 6): 1, (1, 8): 1, (1, 9): 8, (1, 10): 1, (2, 4): 1, (2, 5): 53, (2, 6): 6, (2, 9): 27, (2, 10): 5, (3, 4): 73, (3, 5): 12, (4, 10): 1, (5, 6): 1, (6, 7): 49, (8, 10): 21, (9, 10): 2}",2106.999999995196
2.0,Graph with 11 nodes and 21 edges,"[[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1], [0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0], [1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1], [0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1], [1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]]",3.0,1.0,Y,"{0: 4, 1: 10, 2: 11, 3: 5, 4: 3, 5: 9, 6: 12, 7: 7, 8: 6, 9: 8, 10: 13}","{(0, 2): 1, (0, 5): 1, (0, 6): 1, (0, 10): 1, (1, 2): 1, (1, 5): 4, (1, 9): 5, (2, 3): 1, (2, 6): 1, (2, 8): 6, (2, 10): 1, (3, 4): 1, (3, 6): 2, (3, 9): 1, (4, 6): 1, (4, 10): 1, (5, 6): 4, (6, 9): 1, (6, 10): 2, (7, 10): 7, (9, 10): 1}",4198.0000000023665
2.0,Graph with 11 nodes and 21 edges,"[[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1], [0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0], [1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1], [0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1], [1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]]",3.0,6.0,Y,"{0: 57, 1: 9, 2: 63, 3: 45, 4: 27, 5: 15, 6: 51, 7: 21, 8: 3, 9: 33, 10: 39}","{(0, 2): 25, (0, 5): 11, (0, 6): 19, (0, 10): 1, (1, 2): 1, (1, 5): 1, (1, 9): 7, (2, 3): 32, (2, 6): 1, (2, 8): 3, (2, 10): 1, (3, 4): 1, (3, 6): 1, (3, 9): 11, (4, 6): 25, (4, 10): 1, (5, 6): 2, (6, 9): 1, (6, 10): 1, (7, 10): 21, (9, 10): 14}",1861.999999988484
3.0,Graph with 11 nodes and 27 edges,"[[0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0], [1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1], [1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1], [1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0], [1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0], [0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0]]",3.0,7.0,Y,"{0: 10, 1: 73, 2: 66, 3: 59, 4: 3, 5: 52, 6: 45, 7: 38, 8: 31, 9: 24, 10: 17}","{(0, 1): 1, (0, 2): 1, (0, 3): 4, (0, 4): 1, (0, 6): 1, (0, 8): 1, (0, 9): 1, (1, 2): 37, (1, 4): 1, (1, 6): 4, (1, 8): 28, (1, 9): 1, (1, 10): 1, (2, 5): 1, (2, 6): 26, (2, 9): 1, (3, 5): 24, (3, 6): 12, (3, 9): 19, (4, 10): 1, (5, 7): 25, (5, 9): 1, (5, 10): 1, (6, 8): 1, (6, 10): 1, (7, 10): 13, (8, 9): 1}",1754.0000000053624
