graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
0.0,Graph with 10 nodes and 21 edges,"[[0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 1, 1, 0, 1, 0, 1, 0], [0, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 1, 1, 0, 0, 1, 1, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 1, 0, 0, 1, 0, 0, 1], [1, 1, 1, 1, 0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 0, 0, 1, 0, 0, 1], [1, 1, 0, 0, 1, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 1, 1, 1, 0, 0]]",3.0,1.0,Y,"{0: 10, 1: 6, 2: 3, 3: 11, 4: 4, 5: 9, 6: 12, 7: 5, 8: 8, 9: 7}","{(0, 5): 1, (0, 6): 4, (0, 7): 1, (0, 8): 2, (0, 9): 1, (1, 3): 2, (1, 4): 1, (1, 6): 1, (1, 8): 1, (2, 3): 2, (2, 6): 1, (3, 5): 3, (3, 6): 1, (3, 7): 2, (4, 8): 3, (5, 6): 1, (5, 9): 4, (6, 7): 1, (6, 8): 1, (6, 9): 1, (7, 9): 1}",1959.9999999968531
0.0,Graph with 10 nodes and 21 edges,"[[0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 1, 1, 0, 1, 0, 1, 0], [0, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 1, 1, 0, 0, 1, 1, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 1, 0, 0, 1, 0, 0, 1], [1, 1, 1, 1, 0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 0, 0, 1, 0, 0, 1], [1, 1, 0, 0, 1, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 1, 1, 1, 0, 0]]",3.0,8.0,Y,"{0: 11, 1: 75, 2: 3, 3: 67, 4: 59, 5: 51, 6: 43, 7: 35, 8: 19, 9: 27}","{(0, 5): 1, (0, 6): 7, (0, 7): 1, (0, 8): 1, (0, 9): 1, (1, 3): 30, (1, 4): 43, (1, 6): 1, (1, 8): 1, (2, 3): 2, (2, 6): 1, (3, 5): 25, (3, 6): 4, (3, 7): 6, (4, 8): 16, (5, 6): 1, (5, 9): 24, (6, 7): 27, (6, 8): 1, (6, 9): 1, (7, 9): 1}",1680.0000000003479
1.0,Graph with 10 nodes and 21 edges,"[[0, 1, 0, 1, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 1, 0, 1, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 1, 1, 0, 1, 1, 0], [1, 1, 0, 1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 1, 0, 0], [1, 1, 0, 1, 0, 0, 1, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0, 1, 0]]",2.0,1.0,Y,"{0: 6, 1: 11, 2: 2, 3: 10, 4: 5, 5: 4, 6: 8, 7: 9, 8: 7, 9: 3}","{(0, 1): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 7): 1, (0, 8): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (1, 6): 5, (1, 7): 1, (2, 8): 1, (3, 4): 1, (3, 5): 1, (3, 7): 4, (3, 8): 2, (4, 5): 1, (4, 8): 1, (5, 9): 1, (6, 7): 2, (8, 9): 2}",1598.9999999987958
2.0,Graph with 10 nodes and 21 edges,"[[0, 1, 1, 0, 0, 1, 1, 1, 0, 1], [1, 0, 0, 0, 1, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0, 1, 0], [0, 1, 1, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 1, 0, 0, 1], [0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 1, 1, 0, 0]]",3.0,9.0,Y,"{0: 39, 1: 75, 2: 48, 3: 21, 4: 30, 5: 12, 6: 57, 7: 84, 8: 3, 9: 66}","{(0, 1): 12, (0, 2): 1, (0, 5): 1, (0, 6): 1, (0, 7): 3, (0, 9): 20, (1, 4): 28, (1, 7): 32, (1, 8): 1, (1, 9): 1, (2, 4): 1, (2, 7): 45, (2, 8): 1, (3, 6): 20, (3, 8): 1, (4, 6): 1, (5, 7): 1, (5, 9): 10, (6, 7): 1, (6, 9): 34, (7, 9): 1}",1534.9999999969555
2.0,Graph with 10 nodes and 21 edges,"[[0, 1, 1, 0, 0, 1, 1, 1, 0, 1], [1, 0, 0, 0, 1, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0, 1, 0], [0, 1, 1, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 1, 0, 0, 1], [0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 1, 1, 0, 0]]",4.0,9.0,Y,"{0: 58, 1: 67, 2: 13, 3: 40, 4: 22, 5: 31, 6: 49, 7: 76, 8: 4, 9: 85}","{(0, 1): 53, (0, 2): 1, (0, 5): 1, (0, 6): 1, (0, 7): 1, (0, 9): 1, (1, 4): 11, (1, 7): 1, (1, 8): 1, (1, 9): 1, (2, 4): 10, (2, 7): 1, (2, 8): 1, (3, 6): 38, (3, 8): 2, (4, 6): 1, (5, 7): 6, (5, 9): 23, (6, 7): 8, (6, 9): 1, (7, 9): 58}",1468.0000000026894
4.0,Graph with 10 nodes and 22 edges,"[[0, 0, 0, 1, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1, 0, 1, 0], [0, 1, 0, 1, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0, 1, 0], [1, 1, 0, 1, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 0, 0, 0, 0, 1, 1, 0]]",2.0,1.0,Y,"{0: 9, 1: 7, 2: 3, 3: 10, 4: 5, 5: 2, 6: 4, 7: 6, 8: 11, 9: 8}","{(0, 3): 1, (0, 6): 1, (0, 7): 1, (0, 8): 4, (0, 9): 1, (1, 3): 4, (1, 4): 1, (1, 6): 1, (1, 9): 1, (2, 3): 1, (2, 8): 1, (2, 9): 1, (3, 4): 2, (3, 6): 1, (3, 8): 1, (4, 7): 1, (4, 8): 1, (5, 6): 1, (5, 8): 1, (7, 8): 1, (7, 9): 3, (8, 9): 1}",1955.9999999998468
4.0,Graph with 10 nodes and 22 edges,"[[0, 0, 0, 1, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1, 0, 1, 0], [0, 1, 0, 1, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0, 1, 0], [1, 1, 0, 1, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 0, 0, 0, 0, 1, 1, 0]]",2.0,3.0,Y,"{0: 5, 1: 29, 2: 26, 3: 8, 4: 23, 5: 2, 6: 14, 7: 11, 8: 17, 9: 20}","{(0, 3): 1, (0, 6): 1, (0, 7): 1, (0, 8): 1, (0, 9): 1, (1, 3): 1, (1, 4): 16, (1, 6): 11, (1, 9): 1, (2, 3): 2, (2, 8): 10, (2, 9): 13, (3, 4): 1, (3, 6): 1, (3, 8): 1, (4, 7): 5, (4, 8): 1, (5, 6): 1, (5, 8): 1, (7, 8): 1, (7, 9): 4, (8, 9): 1}",2085.999999998478
4.0,Graph with 10 nodes and 22 edges,"[[0, 0, 0, 1, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1, 0, 1, 0], [0, 1, 0, 1, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0, 1, 0], [1, 1, 0, 1, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 0, 0, 0, 0, 1, 1, 0]]",3.0,4.0,Y,"{0: 7, 1: 39, 2: 3, 3: 35, 4: 31, 5: 27, 6: 23, 7: 11, 8: 19, 9: 15}","{(0, 3): 3, (0, 6): 1, (0, 7): 1, (0, 8): 1, (0, 9): 1, (1, 3): 14, (1, 4): 20, (1, 6): 1, (1, 9): 4, (2, 3): 1, (2, 8): 1, (2, 9): 1, (3, 4): 9, (3, 6): 1, (3, 8): 7, (4, 7): 1, (4, 8): 1, (5, 6): 20, (5, 8): 7, (7, 8): 1, (7, 9): 8, (8, 9): 1}",1651.9999999999868
4.0,Graph with 10 nodes and 22 edges,"[[0, 0, 0, 1, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1, 0, 1, 0], [0, 1, 0, 1, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0, 1, 0], [1, 1, 0, 1, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 0, 0, 0, 0, 1, 1, 0]]",4.0,1.0,Y,"{0: 11, 1: 9, 2: 7, 3: 12, 4: 6, 5: 5, 6: 4, 7: 8, 8: 13, 9: 10}","{(0, 3): 1, (0, 6): 1, (0, 7): 2, (0, 8): 1, (0, 9): 5, (1, 3): 3, (1, 4): 3, (1, 6): 1, (1, 9): 2, (2, 3): 5, (2, 8): 1, (2, 9): 1, (3, 4): 1, (3, 6): 1, (3, 8): 1, (4, 7): 1, (4, 8): 1, (5, 6): 1, (5, 8): 4, (7, 8): 3, (7, 9): 1, (8, 9): 1}",1545.0000000001296
5.0,Graph with 10 nodes and 24 edges,"[[0, 1, 1, 1, 0, 1, 0, 0, 1, 0], [1, 0, 1, 0, 1, 1, 1, 0, 0, 0], [1, 1, 0, 0, 1, 0, 1, 1, 1, 0], [1, 0, 0, 0, 1, 1, 1, 1, 1, 0], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 0, 0, 0, 1, 0], [0, 1, 1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 1, 1, 1, 0, 1, 0, 1, 0], [1, 0, 1, 1, 1, 1, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",2.0,8.0,Y,"{0: 10, 1: 74, 2: 66, 3: 58, 4: 50, 5: 34, 6: 26, 7: 18, 8: 42, 9: 2}","{(0, 1): 1, (0, 2): 1, (0, 3): 6, (0, 5): 1, (0, 8): 1, (1, 2): 53, (1, 4): 18, (1, 5): 1, (1, 6): 1, (2, 4): 9, (2, 6): 1, (2, 7): 1, (2, 8): 1, (3, 4): 13, (3, 5): 1, (3, 6): 23, (3, 7): 14, (3, 8): 1, (4, 7): 1, (4, 8): 7, (4, 9): 2, (5, 8): 31, (6, 7): 1, (7, 8): 1}",1749.0000000037753
