index,graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
0,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,1.0,Y,"{0: 5, 1: 2, 2: 3, 3: 4}","{(0, 2): 3, (0, 3): 2, (1, 3): 2}",1279.0000000109103
1,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,2.0,Y,"{0: 8, 1: 2, 2: 4, 3: 6}","{(0, 2): 4, (0, 3): 4, (1, 3): 2}",976.9999999775791
2,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,3.0,Y,"{0: 11, 1: 2, 2: 5, 3: 8}","{(0, 2): 5, (0, 3): 6, (1, 3): 2}",450.99999999820284
3,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,4.0,Y,"{0: 14, 1: 2, 2: 10, 3: 6}","{(0, 2): 10, (0, 3): 4, (1, 3): 2}",540.9999999983484
4,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,5.0,Y,"{0: 17, 1: 2, 2: 7, 3: 12}","{(0, 2): 7, (0, 3): 10, (1, 3): 2}",449.00000000325235
6,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,7.0,Y,"{0: 23, 1: 2, 2: 16, 3: 9}","{(0, 2): 16, (0, 3): 7, (1, 3): 2}",510.99999996040424
7,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,8.0,Y,"{0: 26, 1: 2, 2: 18, 3: 10}","{(0, 2): 18, (0, 3): 8, (1, 3): 2}",544.0000000476175
9,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,1.0,Y,"{0: 6, 1: 3, 2: 4, 3: 5}","{(0, 2): 4, (0, 3): 2, (1, 3): 3}",832.0000000026084
10,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,2.0,Y,"{0: 7, 1: 5, 2: 3, 3: 9}","{(0, 2): 3, (0, 3): 4, (1, 3): 5}",540.0000000008731
11,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,3.0,Y,"{0: 6, 1: 9, 2: 3, 3: 12}","{(0, 2): 3, (0, 3): 3, (1, 3): 9}",495.00000000080036
13,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,5.0,Y,"{0: 13, 1: 8, 2: 3, 3: 18}","{(0, 2): 3, (0, 3): 10, (1, 3): 8}",386.99999998925705
14,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,6.0,Y,"{0: 9, 1: 15, 2: 3, 3: 21}","{(0, 2): 3, (0, 3): 6, (1, 3): 15}",496.99999999575084
16,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,8.0,Y,"{0: 11, 1: 19, 2: 3, 3: 27}","{(0, 2): 3, (0, 3): 8, (1, 3): 19}",331.0000000169566
17,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,9.0,Y,"{0: 12, 1: 21, 2: 3, 3: 30}","{(0, 2): 3, (0, 3): 9, (1, 3): 21}",460.00000003232344
18,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",4.0,1.0,Y,"{0: 7, 1: 4, 2: 5, 3: 6}","{(0, 2): 5, (0, 3): 2, (1, 3): 4}",1063.999999985299
20,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",4.0,3.0,Y,"{0: 10, 1: 7, 2: 4, 3: 13}","{(0, 2): 4, (0, 3): 6, (1, 3): 7}",501.99999998312705
21,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",4.0,4.0,Y,"{0: 8, 1: 12, 2: 4, 3: 16}","{(0, 2): 4, (0, 3): 4, (1, 3): 12}",400.0000000132786
22,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",4.0,5.0,Y,"{0: 19, 1: 4, 2: 14, 3: 9}","{(0, 2): 14, (0, 3): 5, (1, 3): 4}",354.0000000157306
24,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",4.0,7.0,Y,"{0: 11, 1: 18, 2: 4, 3: 25}","{(0, 2): 4, (0, 3): 7, (1, 3): 18}",456.00000004242247
25,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",4.0,8.0,Y,"{0: 20, 1: 12, 2: 4, 3: 28}","{(0, 2): 4, (0, 3): 16, (1, 3): 12}",520.9999999920001
26,1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",4.0,9.0,Y,"{0: 31, 1: 4, 2: 22, 3: 13}","{(0, 2): 22, (0, 3): 9, (1, 3): 4}",1708.0000000078144
27,2.0,Graph with 4 nodes and 4 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,1.0,Y,"{0: 4, 1: 2, 2: 3, 3: 5}","{(0, 2): 2, (0, 3): 2, (1, 3): 2, (2, 3): 1}",315.0000000005093
29,2.0,Graph with 4 nodes and 4 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,3.0,Y,"{0: 5, 1: 2, 2: 8, 3: 11}","{(0, 2): 2, (0, 3): 3, (1, 3): 2, (2, 3): 6}",990.999999999076
30,2.0,Graph with 4 nodes and 4 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,4.0,Y,"{0: 6, 1: 2, 2: 10, 3: 14}","{(0, 2): 2, (0, 3): 4, (1, 3): 2, (2, 3): 8}",1276.0000000184846
