index,graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
0,1.0,Graph with 5 nodes and 4 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 0], [1, 1, 1, 0, 0]]",2.0,1.0,Y,"{0: 5, 1: 3, 2: 2, 3: 4, 4: 6}","{(0, 3): 4, (0, 4): 1, (1, 4): 3, (2, 4): 2}",567.9999999870233
2,2.0,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 6, 1: 2, 2: 4, 3: 8, 4: 10}","{(0, 3): 5, (0, 4): 1, (1, 4): 2, (2, 4): 4, (3, 4): 3}",533.0000000185464
3,2.0,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,3.0,Y,"{0: 8, 1: 5, 2: 2, 3: 11, 4: 14}","{(0, 3): 6, (0, 4): 2, (1, 4): 5, (2, 4): 2, (3, 4): 5}",1576.999999997497
5,2.0,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,5.0,Y,"{0: 17, 1: 7, 2: 2, 3: 12, 4: 22}","{(0, 3): 8, (0, 4): 9, (1, 4): 7, (2, 4): 2, (3, 4): 4}",1449.9999999770807
7,2.0,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,7.0,Y,"{0: 23, 1: 9, 2: 2, 3: 16, 4: 30}","{(0, 3): 10, (0, 4): 13, (1, 4): 9, (2, 4): 2, (3, 4): 6}",1911.0000000068794
10,2.0,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,3.0,Y,"{0: 9, 1: 3, 2: 6, 3: 12, 4: 15}","{(0, 3): 7, (0, 4): 1, (1, 4): 3, (2, 4): 6, (3, 4): 4}",835.9999999925094
12,2.0,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",3.0,5.0,Y,"{0: 18, 1: 8, 2: 3, 3: 13, 4: 23}","{(0, 3): 9, (0, 4): 8, (1, 4): 8, (2, 4): 3, (3, 4): 3}",1754.0000000053624
18,2.0,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,4.0,Y,"{0: 12, 1: 4, 2: 8, 3: 16, 4: 20}","{(0, 3): 10, (0, 4): 2, (1, 4): 4, (2, 4): 8, (3, 4): 6}",1210.0000000145883
21,2.0,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,7.0,Y,"{0: 25, 1: 11, 2: 4, 3: 18, 4: 32}","{(0, 3): 13, (0, 4): 12, (1, 4): 11, (2, 4): 4, (3, 4): 5}",1871.9999999916581
23,2.0,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",4.0,9.0,Y,"{0: 31, 1: 13, 2: 4, 3: 22, 4: 40}","{(0, 3): 15, (0, 4): 16, (1, 4): 13, (2, 4): 4, (3, 4): 7}",1811.9999999726133
26,3.0,Graph with 5 nodes and 5 edges,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 0], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 0, 1, 1, 0]]",2.0,3.0,Y,"{0: 2, 1: 11, 2: 5, 3: 14, 4: 8}","{(0, 3): 1, (0, 4): 1, (1, 3): 11, (2, 4): 5, (3, 4): 2}",495.00000000080036
