index,graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
0,79.0,Graph with 8 nodes and 9 edges,"[[0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0], [1, 0, 1, 1, 1, 1, 0, 0]]",2.0,2.0,Y,"{0: 14, 1: 6, 2: 2, 3: 8, 4: 4, 5: 12, 6: 10, 7: 16}","{(0, 5): 10, (0, 6): 3, (0, 7): 1, (1, 6): 6, (2, 7): 2, (3, 7): 8, (4, 7): 4, (5, 6): 1, (5, 7): 1}",361.99999999553256
5,79.0,Graph with 8 nodes and 9 edges,"[[0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0], [1, 0, 1, 1, 1, 1, 0, 0]]",2.0,7.0,Y,"{0: 30, 1: 9, 2: 23, 3: 16, 4: 2, 5: 44, 6: 37, 7: 51}","{(0, 5): 18, (0, 6): 11, (0, 7): 1, (1, 6): 9, (2, 7): 23, (3, 7): 16, (4, 7): 2, (5, 6): 17, (5, 7): 9}",1842.0000000105574
21,79.0,Graph with 8 nodes and 9 edges,"[[0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 0], [1, 0, 1, 1, 1, 1, 0, 0]]",4.0,8.0,Y,"{0: 36, 1: 20, 2: 4, 3: 28, 4: 12, 5: 44, 6: 52, 7: 60}","{(0, 5): 16, (0, 6): 5, (0, 7): 15, (1, 6): 20, (2, 7): 4, (3, 7): 28, (4, 7): 12, (5, 6): 27, (5, 7): 1}",1835.0000000282307
41,447.0,Graph with 8 nodes and 11 edges,"[[0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 1, 0, 0, 0], [1, 1, 1, 0, 0, 1, 0, 0]]",4.0,2.0,Y,"{0: 6, 1: 8, 2: 10, 3: 12, 4: 4, 5: 14, 6: 18, 7: 16}","{(0, 5): 3, (0, 6): 1, (0, 7): 2, (1, 5): 6, (1, 6): 1, (1, 7): 1, (2, 5): 1, (2, 7): 9, (3, 6): 12, (4, 6): 4, (5, 7): 4}",2667.999999971471
80,1100.0,Graph with 8 nodes and 11 edges,"[[0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1, 0]]",2.0,5.0,Y,"{0: 22, 1: 17, 2: 7, 3: 2, 4: 12, 5: 32, 6: 27, 7: 37}","{(0, 4): 12, (0, 6): 5, (0, 7): 5, (1, 5): 16, (1, 6): 1, (2, 5): 6, (2, 7): 1, (3, 6): 1, (3, 7): 1, (5, 7): 10, (6, 7): 20}",1237.0000000601067
95,1100.0,Graph with 8 nodes and 11 edges,"[[0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1, 0]]",4.0,2.0,Y,"{0: 16, 1: 6, 2: 14, 3: 4, 4: 8, 5: 12, 6: 10, 7: 18}","{(0, 4): 8, (0, 6): 3, (0, 7): 5, (1, 5): 3, (1, 6): 3, (2, 5): 8, (2, 7): 6, (3, 6): 1, (3, 7): 3, (5, 7): 1, (6, 7): 3}",766.000000112399
96,1100.0,Graph with 8 nodes and 11 edges,"[[0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1, 0]]",4.0,3.0,Y,"{0: 10, 1: 7, 2: 13, 3: 16, 4: 4, 5: 19, 6: 22, 7: 25}","{(0, 4): 4, (0, 6): 5, (0, 7): 1, (1, 5): 6, (1, 6): 1, (2, 5): 2, (2, 7): 11, (3, 6): 15, (3, 7): 1, (5, 7): 11, (6, 7): 1}",2979.9999999795546
97,1100.0,Graph with 8 nodes and 11 edges,"[[0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1, 0]]",4.0,4.0,Y,"{0: 12, 1: 8, 2: 16, 3: 20, 4: 4, 5: 24, 6: 28, 7: 32}","{(0, 4): 4, (0, 6): 7, (0, 7): 1, (1, 5): 7, (1, 6): 1, (2, 5): 2, (2, 7): 14, (3, 6): 19, (3, 7): 1, (5, 7): 15, (6, 7): 1}",3016.00000000235
101,1100.0,Graph with 8 nodes and 11 edges,"[[0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1, 0]]",4.0,8.0,Y,"{0: 20, 1: 12, 2: 28, 3: 36, 4: 4, 5: 44, 6: 52, 7: 60}","{(0, 4): 4, (0, 6): 15, (0, 7): 1, (1, 5): 11, (1, 6): 1, (2, 5): 2, (2, 7): 26, (3, 6): 35, (3, 7): 1, (5, 7): 31, (6, 7): 1}",2445.999999963533
102,1100.0,Graph with 8 nodes and 11 edges,"[[0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1, 0]]",4.0,9.0,Y,"{0: 22, 1: 13, 2: 31, 3: 40, 4: 4, 5: 49, 6: 58, 7: 67}","{(0, 4): 4, (0, 6): 17, (0, 7): 1, (1, 5): 12, (1, 6): 1, (2, 5): 2, (2, 7): 29, (3, 6): 39, (3, 7): 1, (5, 7): 35, (6, 7): 1}",2382.0000000114305
