,adjacency_list,a,d,qubo_fixed,offset,formulation_time/microseconds,pegasus_embedding,pegasus_embedding_time,zephyr_embedding,zephyr_embedding_time
0,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2,1,"{('y00', 'y00'): -2.0, ('y00', 'y01'): 8, ('y00', 'y10'): 2, ('y00', 'y11'): 4, ('y01', 'y01'): 0.0, ('y01', 'y10'): 4, ('y01', 'y11'): 8, ('y10', 'y10'): -6.0, ('y10', 'y11'): 8, ('y11', 'y11'): -8.0, ('y20', 'y20'): -10.0, ('y20', 'y21'): 8, ('y21', 'y21'): -16.0, ('y10', 'y20'): 2, ('y10', 'y21'): 4, ('y11', 'y20'): 4, ('y11', 'y21'): 8}",20,372.80000000023966,"{'y00': [2715], 'y01': [2700], 'y10': [3089], 'y11': [3074], 'y20': [2745], 'y21': [2730]}",12162.999999999258,"{'y00': [405], 'y01': [399], 'y10': [976], 'y11': [981], 'y20': [423], 'y21': [429]}",5699.999999990268
1,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2,2,"{('y00', 'y00'): -4.0, ('y00', 'y01'): 8, ('y00', 'y02'): 16, ('y00', 'y10'): 2, ('y00', 'y11'): 4, ('y00', 'y12'): 8, ('y01', 'y01'): -4.0, ('y01', 'y02'): 32, ('y01', 'y10'): 4, ('y01', 'y11'): 8, ('y01', 'y12'): 16, ('y02', 'y02'): 8.0, ('y02', 'y10'): 8, ('y02', 'y11'): 16, ('y02', 'y12'): 32, ('y10', 'y10'): -14.0, ('y10', 'y11'): 8, ('y10', 'y12'): 16, ('y11', 'y11'): -24.0, ('y11', 'y12'): 32, ('y12', 'y12'): -32.0, ('y20', 'y20'): -20.0, ('y20', 'y21'): 8, ('y20', 'y22'): 16, ('y21', 'y21'): -36.0, ('y21', 'y22'): 32, ('y22', 'y22'): -56.0, ('y10', 'y20'): 2, ('y10', 'y21'): 4, ('y10', 'y22'): 8, ('y11', 'y20'): 4, ('y11', 'y21'): 8, ('y11', 'y22'): 16, ('y12', 'y20'): 8, ('y12', 'y21'): 16, ('y12', 'y22'): 32}",66,392.1999999999315,"{'y00': [3489], 'y01': [3504], 'y02': [1727], 'y10': [3534, 1818], 'y11': [1697, 3548], 'y12': [1712, 3563], 'y20': [1668], 'y21': [3519], 'y22': [1653]}",19806,"{'y00': [484], 'y01': [477, 1042], 'y02': [489], 'y10': [1030], 'y11': [1037, 508], 'y12': [496, 1054], 'y20': [525], 'y21': [1025], 'y22': [520]}",13064.000000042597
2,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2,3,"{('y00', 'y00'): -6.0, ('y00', 'y01'): 8, ('y00', 'y02'): 16, ('y00', 'y10'): 2, ('y00', 'y11'): 4, ('y00', 'y12'): 8, ('y01', 'y01'): -8.0, ('y01', 'y02'): 32, ('y01', 'y10'): 4, ('y01', 'y11'): 8, ('y01', 'y12'): 16, ('y02', 'y02'): 0.0, ('y02', 'y10'): 8, ('y02', 'y11'): 16, ('y02', 'y12'): 32, ('y10', 'y10'): -22.0, ('y10', 'y11'): 8, ('y10', 'y12'): 16, ('y11', 'y11'): -40.0, ('y11', 'y12'): 32, ('y12', 'y12'): -64.0, ('y20', 'y20'): -30.0, ('y20', 'y21'): 8, ('y20', 'y22'): 16, ('y21', 'y21'): -56.0, ('y21', 'y22'): 32, ('y22', 'y22'): -96.0, ('y10', 'y20'): 2, ('y10', 'y21'): 4, ('y10', 'y22'): 8, ('y11', 'y20'): 4, ('y11', 'y21'): 8, ('y11', 'y22'): 16, ('y12', 'y20'): 8, ('y12', 'y21'): 16, ('y12', 'y22'): 32}",140,404.8000000004493,"{'y00': [5200], 'y01': [5215], 'y02': [2097], 'y10': [2052, 5291], 'y11': [5365, 2067], 'y12': [5350, 2082], 'y20': [2023], 'y21': [5336], 'y22': [2038]}",20533.00000000036,"{'y00': [151], 'y01': [146], 'y02': [158, 859], 'y10': [182, 853], 'y11': [835, 163], 'y12': [823], 'y20': [170], 'y21': [817], 'y22': [175]}",13018.999999985681
3,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3,1,"{('y00', 'y00'): -6.0, ('y00', 'y01'): 8, ('y00', 'y02'): 16, ('y00', 'y10'): 2, ('y00', 'y11'): 4, ('y00', 'y12'): 8, ('y01', 'y01'): -8.0, ('y01', 'y02'): 32, ('y01', 'y10'): 4, ('y01', 'y11'): 8, ('y01', 'y12'): 16, ('y02', 'y02'): 0.0, ('y02', 'y10'): 8, ('y02', 'y11'): 16, ('y02', 'y12'): 32, ('y10', 'y10'): -10.0, ('y10', 'y11'): 8, ('y10', 'y12'): 16, ('y11', 'y11'): -16.0, ('y11', 'y12'): 32, ('y12', 'y12'): -16.0, ('y20', 'y20'): -14.0, ('y20', 'y21'): 8, ('y20', 'y22'): 16, ('y21', 'y21'): -24.0, ('y21', 'y22'): 32, ('y22', 'y22'): -32.0, ('y10', 'y20'): 2, ('y10', 'y21'): 4, ('y10', 'y22'): 8, ('y11', 'y20'): 4, ('y11', 'y21'): 8, ('y11', 'y22'): 16, ('y12', 'y20'): 8, ('y12', 'y21'): 16, ('y12', 'y22'): 32}",40,328.60000000027867,"{'y00': [2567], 'y01': [3388], 'y02': [3373], 'y10': [3283, 2522], 'y11': [2552], 'y12': [3433, 2507], 'y20': [3418], 'y21': [3448, 2597], 'y22': [3403]}",21143.999999999607,"{'y00': [147], 'y01': [152], 'y02': [937, 176], 'y10': [925], 'y11': [931], 'y12': [171, 949], 'y20': [943, 183], 'y21': [159], 'y22': [164]}",12460.99999997341
4,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3,2,"{('y00', 'y00'): -8.0, ('y00', 'y01'): 8, ('y00', 'y02'): 16, ('y00', 'y10'): 2, ('y00', 'y11'): 4, ('y00', 'y12'): 8, ('y01', 'y01'): -12.0, ('y01', 'y02'): 32, ('y01', 'y10'): 4, ('y01', 'y11'): 8, ('y01', 'y12'): 16, ('y02', 'y02'): -8.0, ('y02', 'y10'): 8, ('y02', 'y11'): 16, ('y02', 'y12'): 32, ('y10', 'y10'): -18.0, ('y10', 'y11'): 8, ('y10', 'y12'): 16, ('y11', 'y11'): -32.0, ('y11', 'y12'): 32, ('y12', 'y12'): -48.0, ('y20', 'y20'): -24.0, ('y20', 'y21'): 8, ('y20', 'y22'): 16, ('y21', 'y21'): -44.0, ('y21', 'y22'): 32, ('y22', 'y22'): -72.0, ('y10', 'y20'): 2, ('y10', 'y21'): 4, ('y10', 'y22'): 8, ('y11', 'y20'): 4, ('y11', 'y21'): 8, ('y11', 'y22'): 16, ('y12', 'y20'): 8, ('y12', 'y21'): 16, ('y12', 'y22'): 32}",98,253.60000000027583,"{'y00': [4227], 'y01': [2241], 'y02': [4212], 'y10': [2226, 4121], 'y11': [4136, 2256], 'y12': [2212, 4286], 'y20': [2271], 'y21': [4242], 'y22': [4257]}",20588.00000000005,"{'y00': [476], 'y01': [471], 'y02': [495, 934], 'y10': [958, 483], 'y11': [922, 500], 'y12': [946], 'y20': [507], 'y21': [512], 'y22': [941]}",11733.99999998992
5,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3,3,"{('y00', 'y00'): -10.0, ('y00', 'y01'): 8, ('y00', 'y02'): 16, ('y00', 'y03'): 32, ('y00', 'y10'): 2, ('y00', 'y11'): 4, ('y00', 'y12'): 8, ('y00', 'y13'): 16, ('y01', 'y01'): -16.0, ('y01', 'y02'): 32, ('y01', 'y03'): 64, ('y01', 'y10'): 4, ('y01', 'y11'): 8, ('y01', 'y12'): 16, ('y01', 'y13'): 32, ('y02', 'y02'): -16.0, ('y02', 'y03'): 128, ('y02', 'y10'): 8, ('y02', 'y11'): 16, ('y02', 'y12'): 32, ('y02', 'y13'): 64, ('y03', 'y03'): 32.0, ('y03', 'y10'): 16, ('y03', 'y11'): 32, ('y03', 'y12'): 64, ('y03', 'y13'): 128, ('y10', 'y10'): -26.0, ('y10', 'y11'): 8, ('y10', 'y12'): 16, ('y10', 'y13'): 32, ('y11', 'y11'): -48.0, ('y11', 'y12'): 32, ('y11', 'y13'): 64, ('y12', 'y12'): -80.0, ('y12', 'y13'): 128, ('y13', 'y13'): -96.0, ('y20', 'y20'): -34.0, ('y20', 'y21'): 8, ('y20', 'y22'): 16, ('y20', 'y23'): 32, ('y21', 'y21'): -64.0, ('y21', 'y22'): 32, ('y21', 'y23'): 64, ('y22', 'y22'): -112.0, ('y22', 'y23'): 128, ('y23', 'y23'): -160.0, ('y10', 'y20'): 2, ('y10', 'y21'): 4, ('y10', 'y22'): 8, ('y10', 'y23'): 16, ('y11', 'y20'): 4, ('y11', 'y21'): 8, ('y11', 'y22'): 16, ('y11', 'y23'): 32, ('y12', 'y20'): 8, ('y12', 'y21'): 16, ('y12', 'y22'): 32, ('y12', 'y23'): 64, ('y13', 'y20'): 16, ('y13', 'y21'): 32, ('y13', 'y22'): 64, ('y13', 'y23'): 128}",184,288.20000000067125,"{'y00': [2957, 540], 'y01': [2987], 'y02': [555, 2942], 'y03': [405, 3046], 'y10': [390, 3017, 3016], 'y11': [495, 3077], 'y12': [3062, 480], 'y13': [2972, 2973], 'y20': [525, 3002], 'y21': [585], 'y22': [510, 3032], 'y23': [570]}",31807.000000000586,"{'y00': [306], 'y01': [301], 'y02': [752, 330], 'y03': [318, 747], 'y10': [313, 764], 'y11': [728], 'y12': [740, 265], 'y13': [722, 723], 'y20': [746, 241], 'y21': [258], 'y22': [734, 270], 'y23': [253]}",17467.000000010557
6,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2,1,"{('y00', 'y00'): -4.0, ('y00', 'y01'): 8, ('y00', 'y10'): 2, ('y00', 'y11'): 4, ('y01', 'y01'): -4.0, ('y01', 'y10'): 4, ('y01', 'y11'): 8, ('y10', 'y10'): -4.0, ('y10', 'y11'): 8, ('y11', 'y11'): -4.0, ('y20', 'y20'): -4.0, ('y20', 'y21'): 8, ('y21', 'y21'): -4.0, ('y00', 'y30'): 2, ('y00', 'y31'): 4, ('y01', 'y30'): 4, ('y01', 'y31'): 8, ('y30', 'y30'): -6.0, ('y30', 'y31'): 8, ('y31', 'y31'): -8.0, ('y10', 'y20'): 2, ('y10', 'y21'): 4, ('y10', 'y30'): 2, ('y10', 'y31'): 4, ('y11', 'y20'): 4, ('y11', 'y21'): 8, ('y11', 'y30'): 4, ('y11', 'y31'): 8, ('y20', 'y30'): 2, ('y20', 'y31'): 4, ('y21', 'y30'): 4, ('y21', 'y31'): 8}",10,263,"{'y00': [1828], 'y01': [1813], 'y10': [5394, 1858], 'y11': [1798, 5379], 'y20': [5364], 'y21': [1843], 'y30': [5424, 1783], 'y31': [5349]}",19309.99999999905,"{'y00': [682], 'y01': [486], 'y10': [677, 510], 'y11': [480], 'y20': [718], 'y21': [713], 'y30': [706, 504], 'y31': [516, 701]}",9952.999999995882
7,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2,2,"{('y00', 'y00'): -10.0, ('y00', 'y01'): 8, ('y00', 'y02'): 16, ('y00', 'y10'): 2, ('y00', 'y11'): 4, ('y00', 'y12'): 8, ('y01', 'y01'): -16.0, ('y01', 'y02'): 32, ('y01', 'y10'): 4, ('y01', 'y11'): 8, ('y01', 'y12'): 16, ('y02', 'y02'): -16.0, ('y02', 'y10'): 8, ('y02', 'y11'): 16, ('y02', 'y12'): 32, ('y10', 'y10'): -12.0, ('y10', 'y11'): 8, ('y10', 'y12'): 16, ('y11', 'y11'): -20.0, ('y11', 'y12'): 32, ('y12', 'y12'): -24.0, ('y20', 'y20'): -10.0, ('y20', 'y21'): 8, ('y20', 'y22'): 16, ('y21', 'y21'): -16.0, ('y21', 'y22'): 32, ('y22', 'y22'): -16.0, ('y00', 'y30'): 2, ('y00', 'y31'): 4, ('y00', 'y32'): 8, ('y01', 'y30'): 4, ('y01', 'y31'): 8, ('y01', 'y32'): 16, ('y02', 'y30'): 8, ('y02', 'y31'): 16, ('y02', 'y32'): 32, ('y30', 'y30'): -16.0, ('y30', 'y31'): 8, ('y30', 'y32'): 16, ('y31', 'y31'): -28.0, ('y31', 'y32'): 32, ('y32', 'y32'): -40.0, ('y10', 'y20'): 2, ('y10', 'y21'): 4, ('y10', 'y22'): 8, ('y10', 'y30'): 2, ('y10', 'y31'): 4, ('y10', 'y32'): 8, ('y11', 'y20'): 4, ('y11', 'y21'): 8, ('y11', 'y22'): 16, ('y11', 'y30'): 4, ('y11', 'y31'): 8, ('y11', 'y32'): 16, ('y12', 'y20'): 8, ('y12', 'y21'): 16, ('y12', 'y22'): 32, ('y12', 'y30'): 8, ('y12', 'y31'): 16, ('y12', 'y32'): 32, ('y20', 'y30'): 2, ('y20', 'y31'): 4, ('y20', 'y32'): 8, ('y21', 'y30'): 4, ('y21', 'y31'): 8, ('y21', 'y32'): 16, ('y22', 'y30'): 8, ('y22', 'y31'): 16, ('y22', 'y32'): 32}",46,285.99999999983083,"{'y00': [4196], 'y01': [4271, 2226], 'y02': [4181], 'y10': [2167], 'y11': [4286, 2197], 'y12': [2151, 4211, 2152], 'y20': [4331], 'y21': [2227, 4316], 'y22': [4346], 'y30': [2137, 4241, 2136], 'y31': [2182], 'y32': [4301, 2212]}",44251.00000000093,"{'y00': [708], 'y01': [12, 672], 'y02': [6, 732], 'y10': [30, 744], 'y11': [85, 84], 'y12': [42, 756], 'y20': [90], 'y21': [54, 714], 'y22': [696], 'y30': [66, 750], 'y31': [78, 720], 'y32': [684, 18]}",15918.999999996686
8,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2,3,"{('y00', 'y00'): -16.0, ('y00', 'y01'): 8, ('y00', 'y02'): 16, ('y00', 'y10'): 2, ('y00', 'y11'): 4, ('y00', 'y12'): 8, ('y01', 'y01'): -28.0, ('y01', 'y02'): 32, ('y01', 'y10'): 4, ('y01', 'y11'): 8, ('y01', 'y12'): 16, ('y02', 'y02'): -40.0, ('y02', 'y10'): 8, ('y02', 'y11'): 16, ('y02', 'y12'): 32, ('y10', 'y10'): -20.0, ('y10', 'y11'): 8, ('y10', 'y12'): 16, ('y11', 'y11'): -36.0, ('y11', 'y12'): 32, ('y12', 'y12'): -56.0, ('y20', 'y20'): -16.0, ('y20', 'y21'): 8, ('y20', 'y22'): 16, ('y21', 'y21'): -28.0, ('y21', 'y22'): 32, ('y22', 'y22'): -40.0, ('y00', 'y30'): 2, ('y00', 'y31'): 4, ('y00', 'y32'): 8, ('y01', 'y30'): 4, ('y01', 'y31'): 8, ('y01', 'y32'): 16, ('y02', 'y30'): 8, ('y02', 'y31'): 16, ('y02', 'y32'): 32, ('y30', 'y30'): -26.0, ('y30', 'y31'): 8, ('y30', 'y32'): 16, ('y31', 'y31'): -48.0, ('y31', 'y32'): 32, ('y32', 'y32'): -80.0, ('y10', 'y20'): 2, ('y10', 'y21'): 4, ('y10', 'y22'): 8, ('y10', 'y30'): 2, ('y10', 'y31'): 4, ('y10', 'y32'): 8, ('y11', 'y20'): 4, ('y11', 'y21'): 8, ('y11', 'y22'): 16, ('y11', 'y30'): 4, ('y11', 'y31'): 8, ('y11', 'y32'): 16, ('y12', 'y20'): 8, ('y12', 'y21'): 16, ('y12', 'y22'): 32, ('y12', 'y30'): 8, ('y12', 'y31'): 16, ('y12', 'y32'): 32, ('y20', 'y30'): 2, ('y20', 'y31'): 4, ('y20', 'y32'): 8, ('y21', 'y30'): 4, ('y21', 'y31'): 8, ('y21', 'y32'): 16, ('y22', 'y30'): 8, ('y22', 'y31'): 16, ('y22', 'y32'): 32}",110,248.39999999990425,"{'y00': [530, 4022], 'y01': [3991, 3992], 'y02': [4006, 4007], 'y10': [4096, 440], 'y11': [4067, 455], 'y12': [485, 486], 'y20': [4111, 411], 'y21': [4037, 425], 'y22': [4081], 'y30': [4052, 470], 'y31': [4126, 396], 'y32': [500, 501]}",40224.00000000026,"{'y00': [1012], 'y01': [1048, 477], 'y02': [1018, 1017], 'y10': [412, 1036], 'y11': [448, 1054], 'y12': [388, 1096], 'y20': [436, 1102], 'y21': [1089, 1090], 'y22': [1084], 'y30': [465, 466], 'y31': [400, 1024], 'y32': [460]}",40880.00000001557
9,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",3,1,"{('y00', 'y00'): -8.0, ('y00', 'y01'): 8, ('y00', 'y02'): 16, ('y00', 'y10'): 2, ('y00', 'y11'): 4, ('y00', 'y12'): 8, ('y01', 'y01'): -12.0, ('y01', 'y02'): 32, ('y01', 'y10'): 4, ('y01', 'y11'): 8, ('y01', 'y12'): 16, ('y02', 'y02'): -8.0, ('y02', 'y10'): 8, ('y02', 'y11'): 16, ('y02', 'y12'): 32, ('y10', 'y10'): -8.0, ('y10', 'y11'): 8, ('y10', 'y12'): 16, ('y11', 'y11'): -12.0, ('y11', 'y12'): 32, ('y12', 'y12'): -8.0, ('y20', 'y20'): -8.0, ('y20', 'y21'): 8, ('y20', 'y22'): 16, ('y21', 'y21'): -12.0, ('y21', 'y22'): 32, ('y22', 'y22'): -8.0, ('y00', 'y30'): 2, ('y00', 'y31'): 4, ('y00', 'y32'): 8, ('y01', 'y30'): 4, ('y01', 'y31'): 8, ('y01', 'y32'): 16, ('y02', 'y30'): 8, ('y02', 'y31'): 16, ('y02', 'y32'): 32, ('y30', 'y30'): -10.0, ('y30', 'y31'): 8, ('y30', 'y32'): 16, ('y31', 'y31'): -16.0, ('y31', 'y32'): 32, ('y32', 'y32'): -16.0, ('y10', 'y20'): 2, ('y10', 'y21'): 4, ('y10', 'y22'): 8, ('y10', 'y30'): 2, ('y10', 'y31'): 4, ('y10', 'y32'): 8, ('y11', 'y20'): 4, ('y11', 'y21'): 8, ('y11', 'y22'): 16, ('y11', 'y30'): 4, ('y11', 'y31'): 8, ('y11', 'y32'): 16, ('y12', 'y20'): 8, ('y12', 'y21'): 16, ('y12', 'y22'): 32, ('y12', 'y30'): 8, ('y12', 'y31'): 16, ('y12', 'y32'): 32, ('y20', 'y30'): 2, ('y20', 'y31'): 4, ('y20', 'y32'): 8, ('y21', 'y30'): 4, ('y21', 'y31'): 8, ('y21', 'y32'): 16, ('y22', 'y30'): 8, ('y22', 'y31'): 16, ('y22', 'y32'): 32}",26,246.20000000012965,"{'y00': [4634], 'y01': [4694, 2754], 'y02': [4649], 'y10': [4709, 2709], 'y11': [2740, 2739, 4829], 'y12': [4814, 2724, 2725], 'y20': [4739, 2679], 'y21': [4679], 'y22': [4664], 'y30': [2768, 2769], 'y31': [2783, 2784], 'y32': [4724, 2694]}",36633.00000000014,"{'y00': [445], 'y01': [808, 433], 'y02': [742], 'y10': [790, 493], 'y11': [469, 784], 'y12': [451, 450], 'y20': [730], 'y21': [754, 517], 'y22': [505, 814], 'y30': [457, 748], 'y31': [802, 481], 'y32': [766, 510]}",26859.000000001743
