index,graph_num,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
0,10,"[[0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0, 1], [1, 0, 0, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 10, 1: 8, 2: 4, 3: 2, 4: 6, 5: 14, 6: 12}","{(0, 4): 4, (0, 6): 6, (1, 5): 8, (2, 5): 4, (3, 6): 2, (4, 6): 2, (5, 6): 2}",230.0739288330078,7.0,7.0,14.0
1,72,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0]]",2.0,2.0,Y,"{0: 12, 1: 8, 2: 2, 3: 6, 4: 4, 5: 10, 6: 14}","{(0, 4): 4, (0, 5): 8, (1, 5): 2, (1, 6): 6, (2, 6): 2, (3, 6): 6}",133.99124145507812,6.0,7.0,12.0
2,76,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0, 0]]",3.0,1.0,Y,"{0: 7, 1: 6, 2: 3, 3: 4, 4: 5, 5: 8, 6: 9}","{(0, 4): 4, (0, 5): 3, (1, 5): 5, (1, 6): 1, (2, 6): 3, (3, 6): 4, (4, 6): 1}",87.02278137207031,7.0,7.0,14.0
3,94,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",3.0,1.0,Y,"{0: 6, 1: 5, 2: 4, 3: 3, 4: 7, 5: 8, 6: 9}","{(0, 4): 4, (0, 5): 1, (0, 6): 1, (1, 5): 5, (2, 6): 4, (3, 6): 3, (4, 5): 2, (4, 6): 1}",154.97207641601562,8.0,7.0,16.0
4,103,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",2.0,2.0,Y,"{0: 10, 1: 4, 2: 2, 3: 8, 4: 6, 5: 12, 6: 14}","{(0, 4): 2, (0, 5): 7, (0, 6): 1, (1, 5): 3, (1, 6): 1, (2, 6): 2, (3, 6): 8, (4, 5): 2, (4, 6): 2}",200.9868621826172,9.0,7.0,18.0
5,250,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0, 1], [0, 1, 0, 1, 1, 1, 0]]",3.0,3.0,Y,"{0: 3, 1: 15, 2: 12, 3: 6, 4: 9, 5: 18, 6: 21}","{(0, 4): 1, (0, 5): 2, (1, 4): 6, (1, 6): 9, (2, 5): 12, (3, 6): 6, (4, 6): 2, (5, 6): 4}",196.93374633789062,8.0,7.0,16.0
6,260,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0, 1], [1, 0, 0, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 4, 1: 12, 2: 8, 3: 2, 4: 14, 5: 10, 6: 6}","{(0, 4): 1, (0, 5): 1, (0, 6): 2, (1, 4): 12, (2, 5): 8, (3, 6): 2, (4, 6): 1, (5, 6): 1}",186.920166015625,8.0,7.0,16.0
7,330,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",3.0,1.0,Y,"{0: 3, 1: 7, 2: 6, 3: 4, 4: 9, 5: 5, 6: 8}","{(0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 4): 7, (2, 5): 1, (2, 6): 5, (3, 5): 3, (3, 6): 1, (4, 6): 1}",92.02957153320312,9.0,7.0,18.0
8,358,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 1, 0]]",3.0,3.0,Y,"{0: 9, 1: 12, 2: 3, 3: 15, 4: 6, 5: 18, 6: 21}","{(0, 4): 1, (0, 5): 5, (0, 6): 3, (1, 4): 4, (1, 6): 8, (2, 5): 1, (2, 6): 2, (3, 5): 10, (3, 6): 5, (4, 6): 1, (5, 6): 2}",32.901763916015625,11.0,7.0,22.0
9,372,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0], [1, 0, 1, 1, 1, 0, 1], [1, 1, 1, 1, 0, 1, 0]]",3.0,1.0,Y,"{0: 6, 1: 5, 2: 4, 3: 3, 4: 7, 5: 8, 6: 9}","{(0, 4): 2, (0, 5): 1, (0, 6): 3, (1, 4): 3, (1, 6): 2, (2, 5): 2, (2, 6): 2, (3, 5): 2, (3, 6): 1, (4, 5): 2, (5, 6): 1}",27.894973754882812,11.0,7.0,22.0
