index,graph_num,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
0,2,"[[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0]]",2.0,3.0,Y,"{0: 11, 1: 20, 2: 8, 3: 5, 4: 2, 5: 14, 6: 17, 7: 23}","{(0, 5): 10, (0, 7): 1, (1, 6): 17, (1, 7): 3, (2, 7): 8, (3, 7): 5, (4, 7): 2, (5, 7): 4}",3091.096878051758,72.0,24.0,208.0
1,19,"[[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 1, 0, 1, 0]]",3.0,2.0,Y,"{0: 15, 1: 9, 2: 3, 3: 5, 4: 7, 5: 13, 6: 11, 7: 17}","{(0, 5): 13, (0, 7): 2, (1, 6): 7, (1, 7): 2, (2, 6): 3, (3, 7): 5, (4, 7): 7, (6, 7): 1}",107.04994201660156,72.0,24.0,208.0
2,27,"[[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 1, 1, 1, 0]]",2.0,3.0,Y,"{0: 17, 1: 5, 2: 14, 3: 8, 4: 2, 5: 11, 6: 20, 7: 23}","{(0, 5): 10, (0, 7): 7, (1, 6): 3, (1, 7): 2, (2, 6): 14, (3, 7): 8, (4, 7): 2, (5, 7): 1, (6, 7): 3}",1388.7882232666016,73.0,24.0,210.0
3,34,"[[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0, 1, 0]]",2.0,1.0,Y,"{0: 7, 1: 5, 2: 4, 3: 2, 4: 3, 5: 6, 6: 8, 7: 9}","{(0, 5): 6, (0, 7): 1, (1, 6): 4, (1, 7): 1, (2, 6): 3, (2, 7): 1, (3, 7): 2, (4, 7): 3, (6, 7): 1}",496.14906311035156,73.0,24.0,210.0
4,43,"[[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 8, 1: 4, 2: 12, 3: 6, 4: 2, 5: 10, 6: 14, 7: 16}","{(0, 5): 7, (0, 7): 1, (1, 6): 2, (1, 7): 2, (2, 6): 11, (2, 7): 1, (3, 7): 6, (4, 7): 2, (5, 7): 3, (6, 7): 1}",1085.9966278076172,74.0,24.0,212.0
5,57,"[[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 1], [1, 1, 0, 0, 1, 0, 1, 0]]",2.0,3.0,Y,"{0: 17, 1: 14, 2: 5, 3: 8, 4: 2, 5: 11, 6: 23, 7: 20}","{(0, 5): 11, (0, 7): 6, (1, 6): 6, (1, 7): 8, (2, 6): 5, (3, 6): 8, (4, 7): 2, (6, 7): 4}",957.9658508300781,72.0,24.0,208.0
6,60,"[[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 1, 1, 0, 0]]",2.0,1.0,Y,"{0: 7, 1: 3, 2: 4, 3: 2, 4: 5, 5: 6, 6: 8, 7: 9}","{(0, 5): 5, (0, 7): 2, (1, 6): 2, (1, 7): 1, (2, 6): 4, (3, 6): 2, (4, 7): 5, (5, 7): 1}",1637.9356384277344,72.0,24.0,208.0
7,61,"[[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 1, 1, 0, 0]]",2.0,2.0,Y,"{0: 8, 1: 10, 2: 4, 3: 6, 4: 2, 5: 12, 6: 14, 7: 16}","{(0, 5): 6, (0, 7): 2, (1, 6): 4, (1, 7): 6, (2, 6): 4, (3, 6): 6, (4, 7): 2, (5, 7): 6}",3262.042999267578,72.0,24.0,208.0
8,68,"[[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0, 0, 1], [1, 1, 0, 0, 1, 1, 1, 0]]",3.0,3.0,Y,"{0: 12, 1: 6, 2: 3, 3: 18, 4: 9, 5: 15, 6: 24, 7: 21}","{(0, 5): 10, (0, 7): 2, (1, 6): 2, (1, 7): 4, (2, 6): 3, (3, 6): 18, (4, 7): 9, (5, 7): 5, (6, 7): 1}",1049.041748046875,73.0,24.0,210.0
9,72,"[[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 0], [1, 1, 1, 0, 1, 0, 0, 0]]",3.0,3.0,Y,"{0: 24, 1: 6, 2: 9, 3: 3, 4: 12, 5: 21, 6: 15, 7: 18}","{(0, 5): 21, (0, 7): 3, (1, 6): 4, (1, 7): 2, (2, 6): 8, (2, 7): 1, (3, 6): 3, (4, 7): 12}",1736.1640930175781,72.0,24.0,208.0
