index,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
0,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 0], [1, 1, 1, 0, 0]]",2.0,1.0,Y,"{0: 5, 1: 3, 2: 2, 3: 4, 4: 6}","{(0, 3): 4, (0, 4): 1, (1, 4): 3, (2, 4): 2}",426.0540008544922,4.0,5.0,8.0
1,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 8, 1: 4, 2: 2, 3: 6, 4: 10}","{(0, 3): 5, (0, 4): 3, (1, 4): 4, (2, 4): 2, (3, 4): 1}",82.96966552734375,5.0,5.0,10.0
2,"[[0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,3.0,Y,"{0: 8, 1: 5, 2: 2, 3: 11, 4: 14}","{(0, 3): 6, (0, 4): 2, (1, 4): 5, (2, 4): 2, (3, 4): 5}",132.7991485595703,5.0,5.0,10.0
3,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 0], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 0, 1, 1, 0]]",2.0,1.0,Y,"{0: 2, 1: 3, 2: 4, 3: 5, 4: 6}","{(0, 3): 1, (0, 4): 1, (1, 3): 3, (2, 4): 4, (3, 4): 1}",92.02957153320312,5.0,5.0,10.0
4,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 0], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 0, 1, 1, 0]]",2.0,2.0,Y,"{0: 8, 1: 4, 2: 2, 3: 10, 4: 6}","{(0, 3): 5, (0, 4): 3, (1, 3): 4, (2, 4): 2, (3, 4): 1}",326.1566162109375,5.0,5.0,10.0
5,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 0], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 0, 1, 1, 0]]",2.0,3.0,Y,"{0: 2, 1: 11, 2: 5, 3: 14, 4: 8}","{(0, 3): 1, (0, 4): 1, (1, 3): 11, (2, 4): 5, (3, 4): 2}",292.06275939941406,5.0,5.0,10.0
6,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 0], [1, 1, 1, 0, 0]]",2.0,1.0,Y,"{0: 3, 1: 5, 2: 2, 3: 4, 4: 6}","{(0, 3): 1, (0, 4): 2, (1, 3): 3, (1, 4): 2, (2, 4): 2}",280.14183044433594,5.0,5.0,10.0
7,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,1.0,Y,"{0: 4, 1: 3, 2: 2, 3: 6, 4: 5}","{(0, 3): 3, (0, 4): 1, (1, 3): 2, (1, 4): 1, (2, 4): 2, (3, 4): 1}",72.95608520507812,6.0,5.0,12.0
8,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 8, 1: 4, 2: 2, 3: 10, 4: 6}","{(0, 3): 6, (0, 4): 2, (1, 3): 3, (1, 4): 1, (2, 4): 2, (3, 4): 1}",169.0387725830078,6.0,5.0,12.0
9,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]]",2.0,3.0,Y,"{0: 11, 1: 5, 2: 2, 3: 14, 4: 8}","{(0, 3): 8, (0, 4): 3, (1, 3): 4, (1, 4): 1, (2, 4): 2, (3, 4): 2}",84.87701416015625,6.0,5.0,12.0
